measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Male,45-49 years,Other transport injuries,Percent,2007,0.0011370531253196,0.0013771271357748,0.000945655305918
Prevalence,Eswatini,Female,45-49 years,Other transport injuries,Percent,2007,0.0010874333514623,0.0013756409600798,0.0008954025194049
Prevalence,Eswatini,Both,45-49 years,Other transport injuries,Percent,2007,0.0011099423844396,0.0013542475465392,0.0009137820146917
Prevalence,Eswatini,Male,<5 years,Falls,Percent,2007,0.0005326671779116,0.0007816412826776,0.0003615550132082
Prevalence,Eswatini,Female,<5 years,Falls,Percent,2007,0.000566020340401,0.0008496879848411,0.0003480987704613
Prevalence,Eswatini,Both,<5 years,Falls,Percent,2007,0.0005493836318356,0.0008123569018554,0.0003553240178521
Prevalence,Eswatini,Male,50-54 years,Other transport injuries,Percent,2007,0.0012580748791298,0.0014930203817946,0.0010686334017377
Prevalence,Eswatini,Female,50-54 years,Other transport injuries,Percent,2007,0.0011722929610453,0.0014429223333378,0.000986611608831
Prevalence,Eswatini,Both,50-54 years,Other transport injuries,Percent,2007,0.001212317852169,0.0014591428406012,0.0010279787579601
Prevalence,Eswatini,Male,55-59 years,Other transport injuries,Percent,2007,0.001380192370271,0.0016355369320954,0.0011797707556141
Prevalence,Eswatini,Female,55-59 years,Other transport injuries,Percent,2007,0.0012670837821515,0.0015337875210057,0.0010809539083412
Prevalence,Eswatini,Both,55-59 years,Other transport injuries,Percent,2007,0.0013193773731547,0.001567231492111,0.001127887201119
Prevalence,Eswatini,Male,60-64 years,Other transport injuries,Percent,2007,0.0014705802705915,0.0017421060817717,0.0012692839827649
Prevalence,Eswatini,Female,60-64 years,Other transport injuries,Percent,2007,0.0013504093735069,0.0016372485083969,0.0011507264566158
Prevalence,Eswatini,Both,60-64 years,Other transport injuries,Percent,2007,0.0014022055942274,0.0016810867295205,0.001210322529218
Prevalence,Eswatini,Male,65-69 years,Other transport injuries,Percent,2007,0.0015780028783015,0.0018363155732147,0.0013433801449259
Prevalence,Eswatini,Female,65-69 years,Other transport injuries,Percent,2007,0.0014628535460974,0.0017494813785382,0.0012428050729587
Prevalence,Eswatini,Both,65-69 years,Other transport injuries,Percent,2007,0.0015101800427031,0.0017787056371811,0.0012923273903885
Prevalence,Eswatini,Male,70-74 years,Other transport injuries,Percent,2007,0.0016709996401876,0.0019276639278461,0.001432150622715
Prevalence,Eswatini,Female,70-74 years,Other transport injuries,Percent,2007,0.0015739136371952,0.0018342120983916,0.0013433926153232
Prevalence,Eswatini,Both,70-74 years,Other transport injuries,Percent,2007,0.0016118448162164,0.0018605928140978,0.0013782280374112
Prevalence,Eswatini,Male,75-79 years,Other transport injuries,Percent,2007,0.0017777982403836,0.0020359957224798,0.0015418147064933
Prevalence,Eswatini,Female,75-79 years,Other transport injuries,Percent,2007,0.0017093589777191,0.0019760943043151,0.0014592767207226
Prevalence,Eswatini,Both,75-79 years,Other transport injuries,Percent,2007,0.0017334048886949,0.0019832972098855,0.0014950098012667
Prevalence,Eswatini,Male,80+ years,Other transport injuries,Percent,2007,0.002038175711159,0.0023183318755148,0.0017846522523127
Prevalence,Eswatini,Female,80+ years,Other transport injuries,Percent,2007,0.0020623055046935,0.0023682876123533,0.0017679259373963
Prevalence,Eswatini,Both,80+ years,Other transport injuries,Percent,2007,0.0020557134397706,0.0023608223428313,0.0017749270926471
Prevalence,Eswatini,Male,50-54 years,Falls,Percent,2007,0.0618541373756075,0.0715954205098116,0.0540749143444269
Prevalence,Eswatini,Female,50-54 years,Falls,Percent,2007,0.0253853144881361,0.0301735929555657,0.0216277142730289
Prevalence,Eswatini,Both,50-54 years,Falls,Percent,2007,0.0424012961739568,0.0491200026689603,0.0368318060909733
Prevalence,Eswatini,Male,55-59 years,Falls,Percent,2007,0.0677573700033907,0.0773803270626877,0.0595158533846992
Prevalence,Eswatini,Female,55-59 years,Falls,Percent,2007,0.0285698401815739,0.0332680480173116,0.0243153652672554
Prevalence,Eswatini,Both,55-59 years,Falls,Percent,2007,0.0466874625783216,0.0535357755463657,0.0405161813254242
Prevalence,Eswatini,Male,60-64 years,Falls,Percent,2007,0.0727310245741081,0.083108393030247,0.0642074499212466
Prevalence,Eswatini,Female,60-64 years,Falls,Percent,2007,0.0319747551169227,0.0368564595042706,0.0276273487356891
Prevalence,Eswatini,Both,60-64 years,Falls,Percent,2007,0.0495415776449373,0.0567485497506593,0.0433319567201443
Prevalence,Eswatini,Male,65-69 years,Falls,Percent,2007,0.0769792753026835,0.0867998270152064,0.0681847704380746
Prevalence,Eswatini,Female,65-69 years,Falls,Percent,2007,0.0356163515880678,0.0405286876178976,0.0311617613715201
Prevalence,Eswatini,Both,65-69 years,Falls,Percent,2007,0.0526165629618161,0.0593427688782694,0.0467045720821956
Prevalence,Eswatini,Male,70-74 years,Falls,Percent,2007,0.0811291737725009,0.0908685346246278,0.0725152804744689
Prevalence,Eswatini,Female,70-74 years,Falls,Percent,2007,0.0406155622598545,0.0455854196044726,0.0361764902840739
Prevalence,Eswatini,Both,70-74 years,Falls,Percent,2007,0.0564441009599367,0.0633187263100192,0.0506399596762197
Prevalence,Eswatini,Male,75-79 years,Falls,Percent,2007,0.0857670229805173,0.0955362352794869,0.0773139914358873
Prevalence,Eswatini,Female,75-79 years,Falls,Percent,2007,0.0486935049866395,0.0543612632355007,0.0437740580553702
Prevalence,Eswatini,Both,75-79 years,Falls,Percent,2007,0.0617191667667586,0.0683259270420151,0.0560058230390888
Prevalence,Eswatini,Male,80+ years,Falls,Percent,2007,0.0959535708141796,0.1067817517632294,0.0877501426140216
Prevalence,Eswatini,Female,80+ years,Falls,Percent,2007,0.0720911459248123,0.0802462143860217,0.0641175009499854
Prevalence,Eswatini,Both,80+ years,Falls,Percent,2007,0.0786101684397758,0.0867464930309044,0.0709529375620581
Prevalence,Eswatini,Male,65-69 years,Tuberculosis,Percent,2007,0.4688992482727633,0.5753968126729896,0.3502341341567664
Prevalence,Eswatini,Female,65-69 years,Tuberculosis,Percent,2007,0.4321448529310421,0.5450149623085087,0.3187629400553264
Prevalence,Eswatini,Both,65-69 years,Tuberculosis,Percent,2007,0.4472509723219722,0.5520608447321074,0.3264531772993035
Prevalence,Eswatini,Male,70-74 years,Tuberculosis,Percent,2007,0.465801372542647,0.5642508782300715,0.3527526930436899
Prevalence,Eswatini,Female,70-74 years,Tuberculosis,Percent,2007,0.412185772084277,0.5205242610596408,0.3053486769399817
Prevalence,Eswatini,Both,70-74 years,Tuberculosis,Percent,2007,0.4331332242077779,0.5313509704263674,0.3207602524178275
Prevalence,Eswatini,Male,75-79 years,Tuberculosis,Percent,2007,0.462620610920586,0.5647456798196714,0.3227958611855795
Prevalence,Eswatini,Female,75-79 years,Tuberculosis,Percent,2007,0.3947715580104402,0.5267255312994102,0.2747863844256608
Prevalence,Eswatini,Both,75-79 years,Tuberculosis,Percent,2007,0.4186101174096673,0.5354237203372976,0.2906263785465032
Prevalence,Eswatini,Male,80+ years,Tuberculosis,Percent,2007,0.4588824273201602,0.5455780895988305,0.3664738857314695
Prevalence,Eswatini,Female,80+ years,Tuberculosis,Percent,2007,0.3795293305848796,0.4614974236678654,0.3070284204866014
Prevalence,Eswatini,Both,80+ years,Tuberculosis,Percent,2007,0.4012079618374122,0.4829145675060113,0.3275215604448579
Prevalence,Eswatini,Male,<5 years,HIV/AIDS,Percent,2007,0.0584601735796436,0.0694028432118942,0.0470868769976682
Prevalence,Eswatini,Female,<5 years,HIV/AIDS,Percent,2007,0.0566805774500986,0.0668903366973974,0.0456107390667825
Prevalence,Eswatini,Both,<5 years,HIV/AIDS,Percent,2007,0.0575672587403724,0.0683109875262775,0.0464045272474295
Prevalence,Eswatini,Male,<5 years,Diarrheal diseases,Percent,2007,0.0264651850905067,0.0308854248756395,0.0224153055648051
Prevalence,Eswatini,Female,<5 years,Diarrheal diseases,Percent,2007,0.021522973672627,0.0248698390754862,0.0190100930206629
Prevalence,Eswatini,Both,<5 years,Diarrheal diseases,Percent,2007,0.0239879643066344,0.0276130281393218,0.0208602657055634
Prevalence,Eswatini,Male,5-9 years,Diarrheal diseases,Percent,2007,0.0283786328724382,0.0348859508224598,0.0219322512179857
Prevalence,Eswatini,Female,5-9 years,Diarrheal diseases,Percent,2007,0.0162952747164229,0.021642696992892,0.0116748810748422
Prevalence,Eswatini,Both,5-9 years,Diarrheal diseases,Percent,2007,0.022260600282441,0.027920576676053,0.0172521119830419
Prevalence,Eswatini,Male,<5 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0119523889980964,0.0137045848687511,0.0100677400617842
Prevalence,Eswatini,Female,<5 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.010080077897065,0.0119322936816583,0.0080335180814669
Prevalence,Eswatini,Both,<5 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0110138515783233,0.0127305021372634,0.0092726264653252
Prevalence,Eswatini,Male,5-9 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0183341566910476,0.0205273671969636,0.0158854503238936
Prevalence,Eswatini,Female,5-9 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0155011608768342,0.0180061073742366,0.0128856135959887
Prevalence,Eswatini,Both,5-9 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0168996358091616,0.0189508436142912,0.0144381364559127
Prevalence,Eswatini,Male,10-14 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0791936749131055,0.088071293716692,0.0701658985824502
Prevalence,Eswatini,Female,10-14 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0627603213491718,0.0725431112876069,0.0530242497006955
Prevalence,Eswatini,Both,10-14 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.0707205830359961,0.0790441075481797,0.0615307338042949
Prevalence,Eswatini,Male,15-19 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.1764017502415467,0.192806059601146,0.159459757043969
Prevalence,Eswatini,Female,15-19 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.128688677720842,0.1444695811230974,0.1124045585965785
Prevalence,Eswatini,Both,15-19 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.1511568746516416,0.1655738058853282,0.1360292134726491
Prevalence,Eswatini,Male,20-24 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.2492762784165782,0.2818838712009712,0.2228547544774917
Prevalence,Eswatini,Female,20-24 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.1814093207555043,0.2052964728805339,0.1615703832393635
Prevalence,Eswatini,Both,20-24 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.2123508840835062,0.2370267882068668,0.1918162820074941
Prevalence,Eswatini,Male,25-29 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.3135563766172931,0.3532402795646961,0.2784397318102402
Prevalence,Eswatini,Female,25-29 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.2322308126785215,0.2620828168791553,0.2051813165631237
Prevalence,Eswatini,Both,25-29 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.2693443205943487,0.302222712294136,0.240639252488527
Prevalence,Eswatini,Male,30-34 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.3679518963849764,0.4142674694298683,0.3242017642878315
Prevalence,Eswatini,Female,30-34 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.2708818176229359,0.3044367252552505,0.2393000225634672
Prevalence,Eswatini,Both,30-34 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.3165516338465752,0.3564777792685413,0.2794458990938158
Prevalence,Eswatini,Male,35-39 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.4081159481310247,0.452525913480266,0.3611566243206691
Prevalence,Eswatini,Female,35-39 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.302075152077161,0.3394760235085906,0.2681276883171955
Prevalence,Eswatini,Both,35-39 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.351873476664133,0.3933798673541596,0.3156095503853394
Prevalence,Eswatini,Male,40-44 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.4416959356449062,0.4880996379228653,0.3953938774819558
Prevalence,Eswatini,Female,40-44 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.327475057932823,0.3656024966475346,0.2944792424868847
Prevalence,Eswatini,Both,40-44 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.3794813290609349,0.4207279624392617,0.3429642066359148
Prevalence,Eswatini,Male,45-49 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.472258274983693,0.5195831138115895,0.4278701156414012
Prevalence,Eswatini,Female,45-49 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.3507654779425306,0.3870693238286605,0.3172378974733199
Prevalence,Eswatini,Both,45-49 years,Cirrhosis and other chronic liver diseases,Percent,2007,0.4058786400786057,0.4447163069374987,0.3704340203858798
Prevalence,Eswatini,Male,<5 years,"Fire, heat, and hot substances",Percent,2007,0.0003258182616084,0.0004099352672257,0.0002526323697424
Prevalence,Eswatini,Female,<5 years,"Fire, heat, and hot substances",Percent,2007,0.0005028853222227,0.0006371940084967,0.0003933724037846
Prevalence,Eswatini,Both,<5 years,"Fire, heat, and hot substances",Percent,2007,0.0004145586163352,0.0005234433698806,0.0003218162671934
Prevalence,Eswatini,Male,5-9 years,Falls,Percent,2007,0.0025588364027282,0.0034266259807425,0.0017421156104214
