population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,New York,Both,65-69 years,Anxiety disorders,Percent,1990,0.059658315755145,0.0712407538533846,0.0491265021207377
All Population,Prevalence,New York,Both,70-74 years,Anxiety disorders,Percent,1990,0.0566802339579923,0.0688283619905692,0.0457021848221769
All Population,Prevalence,New York,Both,75-79 years,Anxiety disorders,Percent,1990,0.0548446448318358,0.0701978539520321,0.0420557032511813
All Population,Prevalence,New York,Both,80+ years,Anxiety disorders,Percent,1990,0.0535328051803399,0.0680995966785359,0.0391549051903819
All Population,Prevalence,New York,Both,<5 years,Diabetes mellitus type 1,Percent,1990,0.0001879757708546,0.000343658316918,0.0001048462806104
All Population,Prevalence,New York,Both,5-9 years,Diabetes mellitus type 1,Percent,1990,0.0010460988303708,0.0017050608704991,0.0006402450731907
All Population,Prevalence,New York,Both,10-14 years,Diabetes mellitus type 1,Percent,1990,0.0020833196217243,0.0027681619950704,0.0014473316169928
All Population,Prevalence,New York,Both,15-19 years,Diabetes mellitus type 1,Percent,1990,0.0028172027251459,0.0037368408925102,0.0021503900764221
All Population,Prevalence,New York,Both,20-24 years,Diabetes mellitus type 1,Percent,1990,0.0034435581527059,0.0048444773213766,0.0025964718615613
All Population,Prevalence,New York,Both,25-29 years,Diabetes mellitus type 1,Percent,1990,0.0039758371397159,0.0054913008628907,0.0029968743005491
All Population,Prevalence,New York,Both,30-34 years,Diabetes mellitus type 1,Percent,1990,0.0043938905273351,0.0058677669778184,0.0033383368782805
All Population,Prevalence,New York,Both,35-39 years,Diabetes mellitus type 1,Percent,1990,0.0046648490343913,0.0059679650483491,0.0036064026780847
All Population,Prevalence,New York,Both,40-44 years,Diabetes mellitus type 1,Percent,1990,0.0047980232987241,0.0061674894498963,0.0037311954621428
All Population,Prevalence,New York,Both,45-49 years,Diabetes mellitus type 1,Percent,1990,0.0048108867224852,0.0061848574400653,0.0036114444260794
All Population,Prevalence,New York,Both,50-54 years,Diabetes mellitus type 1,Percent,1990,0.0047080020320513,0.0061039996269676,0.0035070076975216
All Population,Prevalence,New York,Both,55-59 years,Diabetes mellitus type 1,Percent,1990,0.0044736189426675,0.0058044110620424,0.0033374396203476
All Population,Prevalence,New York,Both,60-64 years,Diabetes mellitus type 1,Percent,1990,0.0041387827297229,0.0054909963009709,0.0030037547578266
All Population,Prevalence,New York,Both,65-69 years,Diabetes mellitus type 1,Percent,1990,0.0037413909967722,0.0053291417021964,0.0026893527035843
