population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Eswatini,Female,20-24 years,COVID-19,Percent,2021,0.1117646199347472,0.167499592361034,0.0618320010725233
All Population,Prevalence,Eswatini,Male,25-29 years,COVID-19,Percent,2021,0.0920509893355637,0.1295901670381194,0.0496386186928359
All Population,Prevalence,Eswatini,Female,25-29 years,COVID-19,Percent,2021,0.1220092422306732,0.1822992909789177,0.0682773259512434
All Population,Prevalence,Eswatini,Male,30-34 years,COVID-19,Percent,2021,0.091508251654006,0.1283386810470103,0.0495630748261412
All Population,Prevalence,Eswatini,Female,30-34 years,COVID-19,Percent,2021,0.1234473247213264,0.1809337444554702,0.069908076415101
All Population,Prevalence,Eswatini,Male,35-39 years,COVID-19,Percent,2021,0.0907743620324273,0.1258847096766025,0.0500004340244686
All Population,Prevalence,Eswatini,Female,35-39 years,COVID-19,Percent,2021,0.1165728581786819,0.1696383178576712,0.0664078390757385
All Population,Prevalence,Eswatini,Male,40-44 years,COVID-19,Percent,2021,0.0912144531310057,0.1259017318638948,0.0505208465487929
All Population,Prevalence,Eswatini,Female,40-44 years,COVID-19,Percent,2021,0.1080704202454962,0.1563825974916974,0.0614886058174065
All Population,Prevalence,Eswatini,Male,45-49 years,COVID-19,Percent,2021,0.0924451025816035,0.1276095952568098,0.0512156244614918
All Population,Prevalence,Eswatini,Female,45-49 years,COVID-19,Percent,2021,0.1038719008985414,0.1503371032146642,0.0591095255475387
All Population,Prevalence,Eswatini,Male,50-54 years,COVID-19,Percent,2021,0.0917061181366834,0.1267109928969648,0.0508216991447814
All Population,Prevalence,Eswatini,Female,50-54 years,COVID-19,Percent,2021,0.1046329396221491,0.1514155815559681,0.0595242589318237
All Population,Prevalence,Eswatini,Male,55-59 years,COVID-19,Percent,2021,0.0920447489610393,0.1268777486079037,0.0512766300594655
All Population,Prevalence,Eswatini,Female,55-59 years,COVID-19,Percent,2021,0.1092538137077844,0.1570301122576701,0.0617639167509855
All Population,Prevalence,Eswatini,Male,60-64 years,COVID-19,Percent,2021,0.0920728086107557,0.1256319679990723,0.0519724197697825
All Population,Prevalence,Eswatini,Female,60-64 years,COVID-19,Percent,2021,0.1149398448801521,0.1632958355776564,0.0650771098965607
All Population,Prevalence,Eswatini,Male,65-69 years,COVID-19,Percent,2021,0.0882300987338417,0.1193794110516941,0.0506535894487766
All Population,Prevalence,Eswatini,Female,65-69 years,COVID-19,Percent,2021,0.1171078058385257,0.1641368972195983,0.067358563669026
All Population,Prevalence,Eswatini,Male,70-74 years,COVID-19,Percent,2021,0.0882094851551597,0.1186437288171565,0.0507622776728856
All Population,Prevalence,Eswatini,Female,70-74 years,COVID-19,Percent,2021,0.1176050482712455,0.1646555176035362,0.0681674308599376
All Population,Prevalence,Eswatini,Male,75-79 years,COVID-19,Percent,2021,0.0939792027487136,0.1261311709875585,0.0552456942773982
All Population,Prevalence,Eswatini,Female,75-79 years,COVID-19,Percent,2021,0.1113501137086014,0.1506324742715862,0.0644698857951499
All Population,Prevalence,Eswatini,Male,80+ years,COVID-19,Percent,2021,0.0897595040494207,0.1202404959233174,0.0539816695529283
All Population,Prevalence,Eswatini,Female,80+ years,COVID-19,Percent,2021,0.0927468499854996,0.1260184139076049,0.0554829635960434
All Population,Prevalence,Eswatini,Male,<5 years,COVID-19,Percent,2022,0.0467560475700634,0.0678699540908227,0.0141397393720332
All Population,Prevalence,Eswatini,Female,<5 years,COVID-19,Percent,2022,0.0440032618570844,0.0644073701192035,0.0132114626882981
All Population,Prevalence,Eswatini,Male,5-9 years,COVID-19,Percent,2022,0.0780248261803096,0.1141901871066461,0.0236159516097205
All Population,Prevalence,Eswatini,Female,5-9 years,COVID-19,Percent,2022,0.07189591122907,0.1060771208527892,0.0215643378400693
All Population,Prevalence,Eswatini,Male,10-14 years,COVID-19,Percent,2022,0.0782565012400721,0.1160525617780595,0.0237806156619962
All Population,Prevalence,Eswatini,Female,10-14 years,COVID-19,Percent,2022,0.0709036537363377,0.1049878337687655,0.0213242870319211
All Population,Prevalence,Eswatini,Male,15-19 years,COVID-19,Percent,2022,0.0783843774046321,0.1148289328982147,0.0235796795677366
All Population,Prevalence,Eswatini,Female,15-19 years,COVID-19,Percent,2022,0.0757225628926066,0.1111116410883962,0.0227183982518346
All Population,Prevalence,Eswatini,Male,20-24 years,COVID-19,Percent,2022,0.0909151787130701,0.1331611364986811,0.0294695982388448
All Population,Prevalence,Eswatini,Female,20-24 years,COVID-19,Percent,2022,0.109122571066355,0.1610114649311225,0.0386912902334602
All Population,Prevalence,Eswatini,Male,25-29 years,COVID-19,Percent,2022,0.0917312943946774,0.1338724055428181,0.0297045246728833
All Population,Prevalence,Eswatini,Female,25-29 years,COVID-19,Percent,2022,0.1178717978100415,0.1738608564514181,0.0420015894300724
All Population,Prevalence,Eswatini,Male,30-34 years,COVID-19,Percent,2022,0.0892068450643743,0.1294149243261653,0.0290661815720811
All Population,Prevalence,Eswatini,Female,30-34 years,COVID-19,Percent,2022,0.1166718471920553,0.1696411170038787,0.0413684657457884
All Population,Prevalence,Eswatini,Male,35-39 years,COVID-19,Percent,2022,0.0857928872340789,0.124118100294375,0.0284724486080821
All Population,Prevalence,Eswatini,Female,35-39 years,COVID-19,Percent,2022,0.106180240266068,0.1533617859443831,0.0382647807493395
All Population,Prevalence,Eswatini,Male,40-44 years,COVID-19,Percent,2022,0.0842047796810265,0.1216998234689526,0.0279145205411729
All Population,Prevalence,Eswatini,Female,40-44 years,COVID-19,Percent,2022,0.0961007728913413,0.1386390976521189,0.0347458125939178
All Population,Prevalence,Eswatini,Male,45-49 years,COVID-19,Percent,2022,0.0852272254594874,0.1231899422129302,0.028250842382681
All Population,Prevalence,Eswatini,Female,45-49 years,COVID-19,Percent,2022,0.0931280127461714,0.1343480702905087,0.0337864635288874
All Population,Prevalence,Eswatini,Male,50-54 years,COVID-19,Percent,2022,0.0849984717587439,0.12289220892359,0.0281848267145603
All Population,Prevalence,Eswatini,Female,50-54 years,COVID-19,Percent,2022,0.0947149843058186,0.1366341132076823,0.0343879730472691
All Population,Prevalence,Eswatini,Male,55-59 years,COVID-19,Percent,2022,0.0852523624263243,0.1225191351984296,0.0283218702112386
All Population,Prevalence,Eswatini,Female,55-59 years,COVID-19,Percent,2022,0.0976333761263922,0.1410044088217565,0.0355416322083493
All Population,Prevalence,Eswatini,Male,60-64 years,COVID-19,Percent,2022,0.0841909655155178,0.1205101171250282,0.0283487720750627
All Population,Prevalence,Eswatini,Female,60-64 years,COVID-19,Percent,2022,0.0995159254397624,0.1431714140380689,0.0366353476498349
All Population,Prevalence,Eswatini,Male,65-69 years,COVID-19,Percent,2022,0.0784598022171416,0.1117013691209595,0.0268882265310539
All Population,Prevalence,Eswatini,Female,65-69 years,COVID-19,Percent,2022,0.09847212108912,0.1409773764507526,0.0368496157968619
All Population,Prevalence,Eswatini,Male,70-74 years,COVID-19,Percent,2022,0.0749471523958636,0.1059576962359171,0.0257912363148725
All Population,Prevalence,Eswatini,Female,70-74 years,COVID-19,Percent,2022,0.0981513200664639,0.1399582279310712,0.0374819456286569
All Population,Prevalence,Eswatini,Male,75-79 years,COVID-19,Percent,2022,0.0784698461139136,0.1108028828865073,0.0275312027940587
All Population,Prevalence,Eswatini,Female,75-79 years,COVID-19,Percent,2022,0.0905914210496845,0.1286264645043111,0.035013740247045
All Population,Prevalence,Eswatini,Male,80+ years,COVID-19,Percent,2022,0.0717032393146894,0.1023060207613526,0.0252500919312241
All Population,Prevalence,Eswatini,Female,80+ years,COVID-19,Percent,2022,0.0703252241212314,0.1001986512184678,0.0275780488171937
All Population,Prevalence,Eswatini,Male,<5 years,COVID-19,Percent,2023,0.0381506271668462,0.0524447847109965,0.0136486411363682
All Population,Prevalence,Eswatini,Female,<5 years,COVID-19,Percent,2023,0.0358105798929656,0.0493750400345167,0.0126800223676578
All Population,Prevalence,Eswatini,Male,5-9 years,COVID-19,Percent,2023,0.0652355287813531,0.0902489030748458,0.0231869139010421
All Population,Prevalence,Eswatini,Female,5-9 years,COVID-19,Percent,2023,0.0599491274574281,0.0831162627779905,0.0210548665858723
All Population,Prevalence,Eswatini,Male,10-14 years,COVID-19,Percent,2023,0.0642407744741853,0.0892933318686443,0.022712762656218
All Population,Prevalence,Eswatini,Female,10-14 years,COVID-19,Percent,2023,0.0580006853772993,0.0799824304917283,0.020287273354716
All Population,Prevalence,Eswatini,Male,15-19 years,COVID-19,Percent,2023,0.0635517476306543,0.0864212095531323,0.0221718807197892
All Population,Prevalence,Eswatini,Female,15-19 years,COVID-19,Percent,2023,0.0611795159136484,0.0833748820446237,0.0212968534423763
All Population,Prevalence,Eswatini,Male,20-24 years,COVID-19,Percent,2023,0.0682724352884435,0.0940349933060154,0.0243800539309217
All Population,Prevalence,Eswatini,Female,20-24 years,COVID-19,Percent,2023,0.0769764209940257,0.1068382064605873,0.0280073188496725
All Population,Prevalence,Eswatini,Male,25-29 years,COVID-19,Percent,2023,0.0678338871351131,0.0938373375423871,0.0241874449391337
All Population,Prevalence,Eswatini,Female,25-29 years,COVID-19,Percent,2023,0.0824143550496264,0.1144000331241595,0.0299915562804283
All Population,Prevalence,Eswatini,Male,30-34 years,COVID-19,Percent,2023,0.0650504394506745,0.0897344423955955,0.0231968593333432
All Population,Prevalence,Eswatini,Female,30-34 years,COVID-19,Percent,2023,0.0805223369982403,0.1116809705293239,0.0293667202397339
All Population,Prevalence,Eswatini,Male,35-39 years,COVID-19,Percent,2023,0.061435110586936,0.0847032477947618,0.0219386747547483
All Population,Prevalence,Eswatini,Female,35-39 years,COVID-19,Percent,2023,0.0715186884877426,0.099147060647542,0.0260686839934423
All Population,Prevalence,Eswatini,Male,40-44 years,COVID-19,Percent,2023,0.0591296360188356,0.0815349719110823,0.0211770970090379
All Population,Prevalence,Eswatini,Female,40-44 years,COVID-19,Percent,2023,0.0633270176553567,0.0877364750834616,0.0232691034422635
All Population,Prevalence,Eswatini,Male,45-49 years,COVID-19,Percent,2023,0.0592796606664023,0.0817400794125679,0.0212379606722091
All Population,Prevalence,Eswatini,Female,45-49 years,COVID-19,Percent,2023,0.0613249677793013,0.0849754621056969,0.0225393645058422
All Population,Prevalence,Eswatini,Male,50-54 years,COVID-19,Percent,2023,0.0591406509681325,0.0815541079006488,0.0210947945333379
All Population,Prevalence,Eswatini,Female,50-54 years,COVID-19,Percent,2023,0.062776822176827,0.0870173540884672,0.0228993708651546
All Population,Prevalence,Eswatini,Male,55-59 years,COVID-19,Percent,2023,0.0590555774222843,0.0814121483889511,0.0211187218535149
All Population,Prevalence,Eswatini,Female,55-59 years,COVID-19,Percent,2023,0.06389481924666,0.0885364499183335,0.0233451435777478
All Population,Prevalence,Eswatini,Male,60-64 years,COVID-19,Percent,2023,0.0581970258833191,0.0801040249392267,0.0208338689764621
All Population,Prevalence,Eswatini,Female,60-64 years,COVID-19,Percent,2023,0.0635748764852076,0.0880696946498506,0.0232519555974576
All Population,Prevalence,Eswatini,Male,65-69 years,COVID-19,Percent,2023,0.0534965776723605,0.0734119012933176,0.0192156929128505
All Population,Prevalence,Eswatini,Female,65-69 years,COVID-19,Percent,2023,0.0617351995616703,0.0857025650845363,0.0226698381191516
All Population,Prevalence,Eswatini,Male,70-74 years,COVID-19,Percent,2023,0.0498361960714378,0.0684455899284801,0.0179614101380979
All Population,Prevalence,Eswatini,Female,70-74 years,COVID-19,Percent,2023,0.0616818470487068,0.0856807074725413,0.0225805477556196
All Population,Prevalence,Eswatini,Male,75-79 years,COVID-19,Percent,2023,0.0516036579281688,0.0709658795607813,0.0186465770879661
All Population,Prevalence,Eswatini,Female,75-79 years,COVID-19,Percent,2023,0.0568327668109925,0.079176256170041,0.0208266715467658
All Population,Prevalence,Eswatini,Male,80+ years,COVID-19,Percent,2023,0.0469802918002513,0.0648165962850953,0.0170207384631566
All Population,Prevalence,Eswatini,Female,80+ years,COVID-19,Percent,2023,0.0425587335850364,0.0590616230389263,0.0155996552027979
