Age,Year,AlzheimersDisease_male,AlzheimersDisease_female,BreastCancer_male,BreastCancer_female,COPD_male,COPD_female,COVID19_male,COVID19_female,CardiovascularDiseases_male,CardiovascularDiseases_female,CervicalCancer_male,CervicalCancer_female,ChronicLiverDisease_male,ChronicLiverDisease_female,DiarrhealDiseases_male,DiarrhealDiseases_female,HIV_male,HIV_female,InterpersonalViolence_male,InterpersonalViolence_female,LowerRespiratoryInfections_male,LowerRespiratoryInfections_female,MaternalConditions_male,MaternalConditions_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,RoadInjuries_male,RoadInjuries_female,SelfHarm_male,SelfHarm_female,Tuberculosis_male,Tuberculosis_female,Type2Diabetes_male,Type2Diabetes_female
30,2003,,,0.4725249872092218,19.26953643579852,4.997262919696814,1.7727787060614844,0.0,0.0,69.95871061630604,41.517570061052886,,89.46082448210409,20.68099173605087,10.65246176740516,11.309968681249485,11.247859707908097,2531.400930209093,2392.9132721561587,323.43626760631435,76.68485538479146,44.34784391033981,31.263658755598463,,147.75889896439222,,,280.28563385933757,48.2072739406433,76.03427482483724,11.947558987011764,157.06328495267613,58.447949073659885,2.893828777883586,1.7026852506465
30,2004,,,0.547957583456309,26.286103114212537,5.286283287760441,2.0375690168510485,0.0,0.0,79.9455904927322,56.208176677289686,,125.04766041479024,21.81210200227529,12.372951050293665,11.613883312779576,12.515503287964169,2816.5791807143446,3100.29191300555,357.23232904689166,93.78604040172712,46.94225814879064,35.47022757805955,,182.23891966171507,,,322.3590632746014,63.80323395782588,81.48380176383986,13.449268773327772,171.43184341586633,65.96663635435397,3.1363973046235873,1.9747355679995755
30,2005,,,0.5756728929499079,31.941419787421975,5.428074662385699,2.2566397207404156,0.0,0.0,82.66015635963659,67.80525855029528,,154.01749723225407,22.347850119273204,13.742943234680348,11.495417729038406,13.373024306499108,2719.441926891474,3446.7142246277926,373.924275457453,104.58548035466056,48.6060284451596,39.01183241981104,,209.21648436420583,,,337.5338353473261,75.64711753866479,85.1835075448404,14.771078215630178,179.3705306177694,71.80635252116683,3.2966839775257513,2.20769536592528
30,2006,,,0.5343759609990149,32.17625278222421,5.290939532262663,2.296609191999742,0.0,0.0,75.69719186935023,67.7093619985032,,156.8816765059278,21.730958925274205,13.889966495831564,10.887851505647022,13.16019338187,2288.362910620845,3156.4299506562197,359.9912120252098,106.23810327918969,48.0309335927951,39.639205864201976,,216.37809953586265,,,313.6089533181666,74.49208116931723,84.67939876949772,14.88901533022143,174.8048745553812,71.22581860853322,3.2859993076009704,2.2672376987621496
30,2007,,,0.4974630817975911,27.684776951470567,5.043677287523266,2.148689409463448,0.0,0.0,69.77913421103372,57.46001336020563,,136.59012037989794,20.711044699087513,12.838362684135252,10.833564514295276,12.463146040030834,2067.4198758976877,2526.1193994293367,345.9949030979407,99.93327456762351,46.64014572577404,37.34135814190448,,202.7650711457477,,,291.3720160983588,62.68214701494178,82.09774663275779,13.97548823585942,165.36404042863035,65.43068526482264,3.228993415268078,2.1596257348225367
30,2008,,,0.4866777510660161,23.93346752627384,4.8569888542171595,1.9876216065418253,0.0,0.0,67.03084837815608,48.95460620922298,,119.71593207160606,19.95725252994732,11.711214051208682,10.988076862685952,11.669542742327314,1993.9695710885524,2048.5317792904166,332.4547685169144,91.95823317816874,45.76242396529256,34.966146679546384,,184.46512145250128,,,281.67508737857224,53.01649435252668,80.72496486625765,12.996590925486954,157.6593051102784,59.45224274111707,3.221651489062346,2.0330203736124903
30,2009,,,0.4697275290444155,22.59373373552787,4.67966766659236,1.9198976901550528,0.0,0.0,63.19819801254004,45.21046921552538,,114.33025993715306,19.234726410954735,11.18149118343317,11.15223567982342,11.288017348226369,1822.392806639004,1815.518903425594,318.63911381887044,87.83450812621525,44.91340138259935,34.07171618801228,,172.50205459454074,,,266.77362953580626,48.7416897602767,79.32537483943247,12.610393218849453,149.46606609623635,56.02168044797209,3.218966149325317,1.9940624224391772
30,2010,,,0.4329035071002556,21.405280769168677,4.440454677556897,1.8866622307143937,0.0,0.0,56.79376225977342,41.602142541327275,,109.42290144908854,18.24790096940019,10.741526556094367,11.02821849331652,10.898622972088498,1523.957512452301,1529.0849059217428,304.5473396969422,84.71745488340706,43.35422967348494,33.45516767478548,,160.29463293579877,,,241.14718706008696,45.01113209510123,76.93216766280771,12.470253760548546,139.10417332534303,53.158345540951565,3.183002389247513,1.971826909055594
30,2011,,,0.3935792288982099,20.183366893288447,4.183931999203913,1.8257048156856708,0.0,0.0,50.15522048636403,37.904475426224785,,104.13490120771202,17.143925520489546,10.14199163425492,9.75568449973538,9.76512935648966,1255.2864714795328,1275.1113719172802,280.7583419820924,79.68758078824388,41.364046443471544,32.21752233447087,,145.03286214932913,,,214.58992981438877,41.53710890297284,73.86103167348966,12.107781169729494,127.3792695714472,49.16508900015713,3.1044226102394834,1.9177918585392633
30,2012,,,0.3586238862958412,18.77734202767688,3.8830017018864735,1.7304601500368124,0.0,0.0,44.8628574175376,34.276279997749604,,97.65749260908107,15.963560681954837,9.326645979351344,8.45368149754326,8.473036725856963,1120.1670719070096,1161.8693971707603,259.60620543030916,73.12245964613085,39.13783605825316,30.219970861509072,,128.65164237623216,,,189.2518316300984,37.68523780492414,69.88469115122275,11.555767790924694,115.19998226135168,44.421949449822336,2.9758033974891744,1.8131964321799765
30,2013,,,0.3288316948499418,17.345127592758807,3.632658309420275,1.6245778774641488,0.0,0.0,40.22457180859434,30.708447312150287,,90.3743364669319,14.994142541346465,8.438704782336115,7.363385926606414,7.257894553861637,963.22642593779,1068.036449771869,238.89666898578756,65.37099896419912,37.346322164465214,27.881067057609062,,112.23845247499108,,,167.53507114203111,33.9193075751245,66.4194315945262,10.827050514778792,104.07554218569857,39.71544800097384,2.87002548925,1.6884629144478644
