Time,AgeGrp,ASFR
1965.0,22,306.01
1965.0,23,312.22
1965.0,24,311.08
1965.0,25,306.33
1965.0,26,299.79
1965.0,27,292.31
1965.0,28,284.44
1965.0,29,277.41
1965.0,30,271.84
1965.0,31,265.66
1965.0,32,258.73
1965.0,33,248.88
1965.0,34,236.39
1965.0,35,223.36
1965.0,36,212.84
1965.0,37,201.17
1965.0,38,188.15
1965.0,39,175.05
1965.0,40,163.85
1965.0,41,144.6
1965.0,42,120.26
1965.0,43,95.52
1965.0,44,72.01
1965.0,45,48.61
1965.0,46,34.06
1965.0,47,23.24
1965.0,48,15.68
1965.0,49,9.48
1966.0,15,70.34
1966.0,16,111.08
1966.0,17,152.95
1966.0,18,193.6
1966.0,19,231.97
1966.0,20,267.12
1966.0,21,291.92
1966.0,22,306.07
1966.0,23,311.77
1966.0,24,310.4
1966.0,25,305.63
1966.0,26,299.16
1966.0,27,291.81
1966.0,28,284.09
1966.0,29,277.16
1966.0,30,271.61
1966.0,31,265.44
1966.0,32,258.51
1966.0,33,248.71
1966.0,34,236.3
1966.0,35,223.32
1966.0,36,212.68
1966.0,37,200.87
1966.0,38,187.69
1966.0,39,174.37
1966.0,40,162.81
1966.0,41,143.45
1966.0,42,119.17
1966.0,43,94.59
1966.0,44,71.31
1966.0,45,48.24
1966.0,46,33.88
1966.0,47,23.17
1966.0,48,15.64
1966.0,49,9.44
1967.0,15,71.79
1967.0,16,113.42
1967.0,17,155.69
1967.0,18,196.11
1967.0,19,233.57
1967.0,20,267.27
1967.0,21,290.85
1967.0,22,304.17
1967.0,23,309.37
1967.0,24,307.8
1967.0,25,302.99
1967.0,26,296.61
1967.0,27,289.41
1967.0,28,281.86
1967.0,29,275.07
1967.0,30,269.59
1967.0,31,263.48
1967.0,32,256.62
1967.0,33,246.93
1967.0,34,234.69
1967.0,35,221.83
1967.0,36,211.14
1967.0,37,199.26
1967.0,38,186.0
1967.0,39,172.55
1967.0,40,160.71
1967.0,41,141.38
1967.0,42,117.32
1967.0,43,93.06
1967.0,44,70.15
1967.0,45,47.56
1967.0,46,33.47
1967.0,47,22.94
1967.0,48,15.5
1967.0,49,9.35
1968.0,15,73.62
1968.0,16,116.33
1968.0,17,159.18
1968.0,18,199.52
1968.0,19,236.22
1968.0,20,268.62
1968.0,21,291.1
1968.0,22,303.65
1968.0,23,308.38
1968.0,24,306.59
1968.0,25,301.73
1968.0,26,295.41
1968.0,27,288.32
1968.0,28,280.91
1968.0,29,274.23
1968.0,30,268.79
1968.0,31,262.72
1968.0,32,255.88
1968.0,33,246.27
1968.0,34,234.12
1968.0,35,221.34
1968.0,36,210.55
1968.0,37,198.56
1968.0,38,185.16
1968.0,39,171.52
1968.0,40,159.36
1968.0,41,139.97
1968.0,42,116.02
1968.0,43,91.96
1968.0,44,69.32
1968.0,45,47.1
1968.0,46,33.22
1968.0,47,22.82
1968.0,48,15.42
1968.0,49,9.29
1969.0,15,75.63
1969.0,16,119.43
1969.0,17,162.83
1969.0,18,203.02
1969.0,19,238.93
1969.0,20,270.07
1969.0,21,291.49
1969.0,22,303.31
1969.0,23,307.59
1969.0,24,305.58
1969.0,25,300.66
1969.0,26,294.38
1969.0,27,287.38
1969.0,28,280.1
1969.0,29,273.52
1969.0,30,268.13
1969.0,31,262.1
1969.0,32,255.29
1969.0,33,245.74
1969.0,34,233.69
1969.0,35,220.96
1969.0,36,210.08
1969.0,37,197.95
1969.0,38,184.41
1969.0,39,170.58
1969.0,40,158.11
1969.0,41,138.66
1969.0,42,114.8
1969.0,43,90.93
1969.0,44,68.53
1969.0,45,46.66
1969.0,46,32.99
1969.0,47,22.72
1969.0,48,15.36
1969.0,49,9.24
1970.0,15,77.62
1970.0,16,122.42
1970.0,17,166.23
1970.0,18,206.1
1970.0,19,241.12
1970.0,20,270.95
1970.0,21,291.29
1970.0,22,302.4
1970.0,23,306.23
1970.0,24,304.01
1970.0,25,299.04
1970.0,26,292.79
1970.0,27,285.89
1970.0,28,278.74
1970.0,29,272.27
1970.0,30,266.95
1970.0,31,260.98
1970.0,32,254.2
1970.0,33,244.74
1970.0,34,232.81
1970.0,35,220.16
1970.0,36,209.2
1970.0,37,196.97
1970.0,38,183.31
1970.0,39,169.32
1970.0,40,156.57
1970.0,41,137.09
1970.0,42,113.37
1970.0,43,89.73
1970.0,44,67.62
1970.0,45,46.13
1970.0,46,32.7
1970.0,47,22.56
1970.0,48,15.26
1970.0,49,9.17
1971.0,15,79.64
1971.0,16,125.48
1971.0,17,169.74
1971.0,18,209.33
1971.0,19,243.46
1971.0,20,271.96
1971.0,21,291.21
1971.0,22,301.59
1971.0,23,304.97
1971.0,24,302.54
1971.0,25,297.51
1971.0,26,291.31
1971.0,27,284.51
1971.0,28,277.49
1971.0,29,271.14
1971.0,30,265.87
1971.0,31,259.95
1971.0,32,253.21
1971.0,33,243.83
1971.0,34,232.0
1971.0,35,219.43
1971.0,36,208.39
1971.0,37,196.06
1971.0,38,182.29
1971.0,39,168.14
1971.0,40,155.1
1971.0,41,135.58
1971.0,42,112.0
1971.0,43,88.57
1971.0,44,66.75
1971.0,45,45.62
1971.0,46,32.41
1971.0,47,22.42
1971.0,48,15.16
1971.0,49,9.1
1972.0,15,81.54
1972.0,16,128.4
1972.0,17,173.11
1972.0,18,212.43
1972.0,19,245.64
1972.0,20,272.74
1972.0,21,290.84
1972.0,22,300.45
1972.0,23,303.36
1972.0,24,300.72
1972.0,25,295.65
1972.0,26,289.52
1972.0,27,282.84
1972.0,28,275.96
1972.0,29,269.73
1972.0,30,264.52
1972.0,31,258.66
1972.0,32,251.96
1972.0,33,242.66
1972.0,34,230.95
1972.0,35,218.46
1972.0,36,207.35
1972.0,37,194.94
1972.0,38,181.07
1972.0,39,166.78
1972.0,40,153.48
1972.0,41,133.96
1972.0,42,110.53
1972.0,43,87.34
1972.0,44,65.81
1972.0,45,45.06
1972.0,46,32.09
1972.0,47,22.25
1972.0,48,15.05
1972.0,49,9.01
1973.0,15,82.38
1973.0,16,130.73
1973.0,17,176.78
1973.0,18,216.95
1973.0,19,249.67
1973.0,20,274.97
1973.0,21,291.38
1973.0,22,299.7
1973.0,23,301.87
1973.0,24,299.03
1973.0,25,294.07
1973.0,26,288.21
1973.0,27,281.82
1973.0,28,275.19
1973.0,29,269.06
1973.0,30,263.8
1973.0,31,257.91
1973.0,32,251.19
1973.0,33,241.94
1973.0,34,230.31
1973.0,35,217.89
1973.0,36,206.71
1973.0,37,194.22
1973.0,38,180.26
1973.0,39,165.81
1973.0,40,152.2
1973.0,41,132.62
1973.0,42,109.29
1973.0,43,86.29
1973.0,44,65.01
1973.0,45,44.63
1973.0,46,31.83
1973.0,47,22.1
1973.0,48,14.96
1973.0,49,8.94
1974.0,15,83.12
1974.0,16,133.04
1974.0,17,180.58
1974.0,18,221.77
1974.0,19,254.04
1974.0,20,277.47
1974.0,21,292.1
1974.0,22,299.05
1974.0,23,300.45
1974.0,24,297.42
1974.0,25,292.59
1974.0,26,287.03
1974.0,27,280.94
1974.0,28,274.57
1974.0,29,268.55
1974.0,30,263.23
1974.0,31,257.29
1974.0,32,250.55
1974.0,33,241.32
1974.0,34,229.77
1974.0,35,217.42
1974.0,36,206.16
1974.0,37,193.59
1974.0,38,179.54
1974.0,39,164.93
1974.0,40,151.01
1974.0,41,131.36
1974.0,42,108.12
1974.0,43,85.3
1974.0,44,64.24
1974.0,45,44.23
1974.0,46,31.58
1974.0,47,21.96
1974.0,48,14.87
1974.0,49,8.88
1975.0,15,83.85
1975.0,16,135.42
1975.0,17,184.53
1975.0,18,226.83
1975.0,19,258.67
1975.0,20,280.18
1975.0,21,292.99
1975.0,22,298.54
1975.0,23,299.15
1975.0,24,295.92
1975.0,25,291.23
1975.0,26,285.98
1975.0,27,280.22
1975.0,28,274.11
1975.0,29,268.2
1975.0,30,262.8
1975.0,31,256.8
1975.0,32,250.04
1975.0,33,240.83
1975.0,34,229.33
1975.0,35,217.01
1975.0,36,205.69
1975.0,37,193.05
1975.0,38,178.94
1975.0,39,164.18
1975.0,40,149.99
1975.0,41,130.25
1975.0,42,107.04
1975.0,43,84.31
1975.0,44,63.37
1975.0,45,43.57
1975.0,46,31.07
1975.0,47,21.56
1975.0,48,14.55
1975.0,49,8.64
1976.0,15,83.59
1976.0,16,137.13
1976.0,17,188.48
1976.0,18,232.74
1976.0,19,264.45
1976.0,20,283.65
1976.0,21,294.16
1976.0,22,297.87
1976.0,23,297.47
1976.0,24,294.05
1976.0,25,289.63
1976.0,26,284.87
1976.0,27,279.58
1976.0,28,273.82
1976.0,29,268.02
1976.0,30,262.46
1976.0,31,256.35
1976.0,32,249.53
1976.0,33,240.32
1976.0,34,228.86
1976.0,35,216.59
1976.0,36,205.21
1976.0,37,192.52
1976.0,38,178.37
1976.0,39,163.48
1976.0,40,149.01
1976.0,41,129.16
1976.0,42,105.98
1976.0,43,83.33
1976.0,44,62.52
1976.0,45,42.95
1976.0,46,30.55
1976.0,47,21.14
1976.0,48,14.23
1976.0,49,8.41
1977.0,15,84.33
1977.0,16,139.78
1977.0,17,192.94
1977.0,18,238.45
1977.0,19,269.55
1977.0,20,286.3
1977.0,21,294.47
1977.0,22,296.34
1977.0,23,294.91
1977.0,24,291.25
1977.0,25,287.06
1977.0,26,282.77
1977.0,27,277.92
1977.0,28,272.47
1977.0,29,266.76
1977.0,30,261.08
1977.0,31,254.83
1977.0,32,247.88
1977.0,33,238.57
1977.0,34,227.04
1977.0,35,214.74
1977.0,36,203.32
1977.0,37,190.64
1977.0,38,176.54
1977.0,39,161.67
1977.0,40,147.13
1977.0,41,127.41
1977.0,42,104.47
1977.0,43,82.1
1977.0,44,61.6
1977.0,45,42.42
1977.0,46,30.21
1977.0,47,20.93
1977.0,48,14.1
1977.0,49,8.31
1978.0,15,85.35
1978.0,16,142.55
1978.0,17,197.18
1978.0,18,243.44
1978.0,19,273.62
1978.0,20,287.89
1978.0,21,293.83
1978.0,22,294.08
1978.0,23,291.77
1978.0,24,287.96
1978.0,25,284.01
1978.0,26,280.16
1978.0,27,275.71
1978.0,28,270.55
1978.0,29,264.95
1978.0,30,259.2
1978.0,31,252.92
1978.0,32,245.99
1978.0,33,236.73
1978.0,34,225.25
1978.0,35,213.04
1978.0,36,201.72
1978.0,37,189.17
1978.0,38,175.22
1978.0,39,160.45
1978.0,40,145.96
1978.0,41,126.31
1978.0,42,103.48
1978.0,43,81.22
1978.0,44,60.81
1978.0,45,41.71
1978.0,46,29.61
1978.0,47,20.43
1978.0,48,13.68
1978.0,49,8.0
1979.0,15,85.54
1979.0,16,143.93
1979.0,17,199.75
1979.0,18,246.88
1979.0,19,276.65
1979.0,20,289.23
1979.0,21,293.5
1979.0,22,292.36
1979.0,23,289.23
1979.0,24,285.16
1979.0,25,281.29
1979.0,26,277.74
1979.0,27,273.59
1979.0,28,268.67
1979.0,29,263.17
1979.0,30,257.36
1979.0,31,251.01
1979.0,32,244.0
1979.0,33,234.67
1979.0,34,223.14
1979.0,35,210.91
1979.0,36,199.55
1979.0,37,187.02
1979.0,38,173.12
1979.0,39,158.39
1979.0,40,143.9
1979.0,41,124.4
1979.0,42,101.84
1979.0,43,79.89
1979.0,44,59.8
1979.0,45,41.08
1979.0,46,29.18
1979.0,47,20.15
1979.0,48,13.49
1979.0,49,7.87
1980.0,15,84.7
1980.0,16,143.52
1980.0,17,200.15
1980.0,18,248.27
1980.0,19,278.33
1980.0,20,290.35
1980.0,21,293.83
1980.0,22,291.82
1980.0,23,288.08
1980.0,24,283.68
1980.0,25,279.72
1980.0,26,276.23
1980.0,27,272.21
1980.0,28,267.46
1980.0,29,262.04
1980.0,30,256.23
1980.0,31,249.83
1980.0,32,242.75
1980.0,33,233.34
1980.0,34,221.74
1980.0,35,209.45
1980.0,36,198.01
1980.0,37,185.43
1980.0,38,171.53
1980.0,39,156.8
1980.0,40,142.28
1980.0,41,122.89
1980.0,42,100.53
1980.0,43,78.81
1980.0,44,58.95
1980.0,45,40.53
1980.0,46,28.78
1980.0,47,19.86
1980.0,48,13.3
1980.0,49,7.75
1981.0,15,84.17
1981.0,16,143.24
1981.0,17,200.26
1981.0,18,248.83
1981.0,19,278.88
1981.0,20,290.38
1981.0,21,293.25
1981.0,22,290.65
1981.0,23,286.47
1981.0,24,281.84
1981.0,25,277.78
1981.0,26,274.3
1981.0,27,270.36
1981.0,28,265.73
1981.0,29,260.41
1981.0,30,254.66
1981.0,31,248.34
1981.0,32,241.34
1981.0,33,232.0
1981.0,34,220.44
1981.0,35,208.19
1981.0,36,196.8
1981.0,37,184.3
1981.0,38,170.49
1981.0,39,155.83
1981.0,40,141.4
1981.0,41,122.06
1981.0,42,99.76
1981.0,43,78.08
1981.0,44,58.25
1981.0,45,39.8
1981.0,46,28.12
1981.0,47,19.29
1981.0,48,12.82
1981.0,49,7.43
1982.0,15,80.29
1982.0,16,137.03
1982.0,17,193.02
1982.0,18,242.16
1982.0,19,274.19
1982.0,20,288.65
1982.0,21,293.61
1982.0,22,291.93
1982.0,23,287.87
1982.0,24,282.74
1982.0,25,277.98
1982.0,26,273.81
1982.0,27,269.45
1982.0,28,264.71
1982.0,29,259.47
1982.0,30,253.94
1982.0,31,247.76
1982.0,32,240.79
1982.0,33,231.42
1982.0,34,219.8
1982.0,35,207.41
1982.0,36,195.86
1982.0,37,183.21
1982.0,38,169.28
1982.0,39,154.56
1982.0,40,140.14
1982.0,41,120.89
1982.0,42,98.74
1982.0,43,77.23
1982.0,44,57.58
1982.0,45,39.3
1982.0,46,27.71
1982.0,47,18.98
1982.0,48,12.64
1982.0,49,7.34
1983.0,15,77.36
1983.0,16,132.51
1983.0,17,187.9
1983.0,18,237.67
1983.0,19,271.16
1983.0,20,287.59
1983.0,21,293.79
1983.0,22,292.44
1983.0,23,288.23
1983.0,24,282.6
1983.0,25,277.28
1983.0,26,272.61
1983.0,27,267.97
1983.0,28,263.19
1983.0,29,258.02
1983.0,30,252.64
1983.0,31,246.47
1983.0,32,239.39
1983.0,33,229.9
1983.0,34,218.12
1983.0,35,205.54
1983.0,36,193.77
1983.0,37,180.92
1983.0,38,166.85
