year,sex,AcuteHepatitis,AlcoholUseDisorder,AlzheimersDisease,AnxietyDisorder,Asthma,BipolarDisorder,BreastCancer,COPD,COVID19,CardiovascularDiseases,CervicalCancer,ChromosomalAbnormalities,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,CongenitalHeartAnomalies,CongenitalMusculoskeletal,Dementia,DiarrhealDiseases,DigestiveCongenitalAnomalies,DownSyndrome,DrugUseDisorder,EsophagealCancer,Flu,HPV,Hyperlipidemia,Hypertension,InterpersonalViolence,LowerRespiratoryInfections,LungCancer,MajorDepressiveDisorder,MaternalConditions,NeonatalEncephalopathy,NeonatalJaundice,NeonatalPretermBirth,NeonatalSepsis,NeuralTubeDefects,Obesity,PTSD,ParkinsonsDisease,ProstateCancer,ProteinEnergyMalnutrition,RoadInjuries,SelfHarm,TobaccoUse,Tuberculosis,Type1Diabetes,Type2Diabetes
2012,Female,0.003883747114359515,0.004895777759330571,0.0018655692025788748,0.04147644004935796,0.04968794056982781,0.004120251550323888,0.002049390451710479,0.010140172329825012,0.0,0.04809104628109752,0.008551874386721836,0.000604485542752287,0.0768575240648319,0.16385527589774765,0.00017115778135375854,0.003222791780396865,0.0026918269790370607,,0.011938499905723186,0.0008072147731473866,0.0003156356445490242,0.005757104679863641,4.9898293095295723e-05,,,,0.44298484387858306,0.03874328243321256,0.0011287656237609267,1.9705253800657857e-05,0.02211227928400524,0.002206527940193739,0.0007665259224141272,0.0009417151241230991,0.007291751227334075,0.0017469409079625409,0.00017555991633514173,,,0.00015343999301579864,0.0,0.003950502398066749,0.00993297728630144,0.0014002174484410218,,0.26939205349261314,0.00014668760956686584,0.03292340958523542
2012,Male,0.005539660247688543,0.02779458304831585,0.0009474671751940665,0.029736938998208614,0.03762569630272185,0.0037481413988741967,4.295739369878062e-05,0.010549013097664022,0.0,0.04189759483322,,0.0010036751846717493,0.06768287770634639,0.20863404402521274,0.000109432708941924,0.002680765856651537,0.0027123502392109805,,0.02162878506674953,0.0005268394855249344,0.00036307029655919886,0.008910063888624113,9.849260716700907e-05,,,,0.3557344725932398,0.04352612751390738,0.0013477642221767295,3.162370598020553e-05,0.017795120378526756,0.0,0.001068373985523554,0.0009240125587140675,0.011504242200047105,0.0022177067436719602,0.00017471881671020148,,,0.000214895562531455,0.0004575690650703994,0.005266645616277582,0.026176140368341535,0.0018101909340932532,,0.3057742452726657,0.0001429024514858736,0.036295332310151446
2013,Female,0.0037983658804578158,0.00491022082590799,0.0019116373822643518,0.041583088368207025,0.04803452554032593,0.004147175759567598,0.002050279374849312,0.010284295481802413,0.0,0.048585448548726665,0.008426871110751636,0.0005895021331564576,0.07822599293784795,0.16365588578499135,0.00017056375822986966,0.003212331367599128,0.002664117908390431,,0.011854402358070164,0.0007725468573180154,0.0003062032136417495,0.005751244000355467,4.9167205392131605e-05,,,,0.4420950500304676,0.03877708430252262,0.001079530676870503,1.9666276406848345e-05,0.022119553940617858,0.002181482515424244,0.0008330989019851287,0.0009369576112839797,0.007348691958745039,0.001773830428578297,0.00016154196979204234,,,0.00015815901396115602,0.0,0.003931393769199594,0.009749427311666923,0.00142564681161369,,0.26042613285245136,0.00014876476550924734,0.033630258684070886
2013,Male,0.00542659626783494,0.028090947302163768,0.0009651720262697118,0.02991351577054718,0.03608382260751357,0.003784222689833723,4.116544199137124e-05,0.010662444031958929,0.0,0.04226187695431283,,0.0009852009322388227,0.06869478864535525,0.20867957424967548,0.00010316933957089883,0.002661888284886152,0.0026813966847269413,,0.02069028714668534,0.0005062155743715115,0.0003555720261674667,0.00896771326283588,9.165536513950079e-05,,,,0.3522491391137705,0.04356650180144166,0.001276775038194058,2.950604757322856e-05,0.01793295976836899,0.0,0.0011649388571068628,0.0009166460724516754,0.01158050060245425,0.002251213752396828,0.00016147525739862665,,,0.000224259932635023,0.00045313329666443313,0.00518737239593904,0.025919909707324957,0.001848633446137779,,0.29743834361484783,0.00014526843012910282,0.03711468951468953
2014,Female,0.0037279977419519593,0.00491517169187954,0.001973093631919937,0.041726726297344384,0.04663920554814793,0.004173055218123735,0.0020451628797693872,0.01046396874450909,0.0,0.049125705995277553,0.008254371806136949,0.0005761798655832429,0.07967879895855287,0.16387640120099203,0.00016941836777464373,0.0032052315784160484,0.0026406888131573028,,0.01175119647459934,0.0007419047807067749,0.0002975867063830807,0.005735527364764942,4.831599906064487e-05,,,,0.4415956100272454,0.03876704210624551,0.0010286443147301664,1.9515165323936356e-05,0.022129435682389315,0.002152532192122078,0.0009051802419309992,0.0009318498235646388,0.007410778243792598,0.0018085043233768533,0.00014928435533460464,,,0.00016396513693539238,0.0,0.003916019021698419,0.009567635045706726,0.0014506669744149777,,0.25164311170456427,0.00015073746431348793,0.03439787097648875
2014,Male,0.005332866147885703,0.028390757258648487,0.0009874757479094354,0.03006941124500909,0.034771547979045435,0.003823624165078514,3.89494231889624e-05,0.010808015386139411,0.0,0.04269102613489666,,0.0009682193937552989,0.06978130877635488,0.20937555570383004,9.542485761335062e-05,0.0026459082311133613,0.002654250843864356,,0.019735403524533335,0.0004888533665100253,0.00034869558878921166,0.009019361334611706,8.355658708632545e-05,,,,0.34866953250436017,0.04355100259502468,0.001204141010645756,2.6936711714045548e-05,0.01808774565759125,0.0,0.001265225726263759,0.0009083946034412792,0.011659122657526033,0.0022909717455389814,0.0001499270032508822,,,0.0002338623351171368,0.00044265054366997335,0.005113301759707358,0.02570663946242328,0.0018906764280014277,,0.28920071033871403,0.00014766454822791138,0.037972250672997844
2015,Female,0.0036845537012293768,0.0049173514528988655,0.002034832815774085,0.0418258021410025,0.046073077107403035,0.004198664708504033,0.002045325698537397,0.010659722071046804,0.0,0.04966385869970352,0.008102819786665235,0.0005673168185683573,0.08103899525132426,0.16498704143803075,0.00016828872051991538,0.003199431953477668,0.002621985313584187,,0.011594563401326726,0.0007214848933675671,0.00029170671336119084,0.005725823271047827,4.743541809917877e-05,,,,0.44073760309704,0.0387456380137412,0.0009776254986591242,1.96701397477142e-05,0.02215992269773952,0.0021281091466558238,0.0009770659603209916,0.0009260776943195631,0.007447312085268781,0.001853329640232748,0.00014251513105631677,,,0.00016961509737502067,0.0,0.003878118295463186,0.009449324547496663,0.0014727420621917391,,0.243956923843889,0.0001525725515116178,0.03516184465619198
2015,Male,0.005278476147298694,0.028673437990589693,0.0010101667830884134,0.03020551173142071,0.034186287899206365,0.0038620935578900064,3.693951586090363e-05,0.010968555562991523,0.0,0.043120626373483954,,0.0009553528032733842,0.070799581535503,0.2110586291265798,8.905064830983002e-05,0.0026342572971319693,0.00263319025508489,,0.01879671074809322,0.00047838314989439245,0.00034434112791544203,0.009063850478101041,7.661753758639596e-05,,,,0.345092960784836,0.04349718188771447,0.0011335687848949766,2.6667707505774707e-05,0.01825362693075381,0.0,0.0013592277310108664,0.00089974875803561,0.011697412017139877,0.0023428829178238552,0.00014363372823720798,,,0.0002411727953173169,0.00043380929339660796,0.005025010217778017,0.025605313747041638,0.001929672152919711,,0.2817866449192026,0.0001498768539578109,0.03873639468378137
2016,Female,0.0036454420051474944,0.0048893185094958875,0.0021047114925595465,0.04215559961143629,0.046191952248449734,0.0042231321770473335,0.0020987054953937228,0.010879020938399729,3.1364302704555207e-07,0.05018442671664689,0.008206465285627395,0.0005618915921179207,0.08238078021339536,0.16603031806521235,0.00017174491790645946,0.003197444363211365,0.0026078850487391697,,0.0110373935280194,0.0007084447803170275,0.0002879933197664456,0.005711701901530845,4.765035371971775e-05,,,,0.4394979282310238,0.03865789573075246,0.0009154866269839654,1.9987819932712716e-05,0.022181310311332633,0.0021075791354915824,0.0010740333030396342,0.0009185973406066714,0.007459713469271121,0.001948792332666568,0.0001398969540449566,,,0.00017592380793772787,0.0,0.003763927089698565,0.00937700516885189,0.0014889348097259477,,0.23708775631556905,0.00015439672425786332,0.035958618987041335
2016,Male,0.005218591507744962,0.028882182092731922,0.0010375341073762473,0.03043338377112355,0.03417548580228607,0.0038988815896756424,3.600508843887165e-05,0.01115626135958381,4.1210795631741866e-07,0.04360329375452161,,0.0009461637136395796,0.0718021928227783,0.2126866767308198,8.592386756222612e-05,0.0026290224953015207,0.002616125394433465,,0.017755756609932654,0.0004732244947250147,0.0003418706577425558,0.009081697665075853,7.245991122698654e-05,,,,0.3415444905111578,0.04327115859612859,0.0010516769567299727,2.5235662314506744e-05,0.018392843623029235,0.0,0.00147008848413762,0.000888232022262755,0.011696140968832142,0.0024451568492450176,0.0001412363072973007,,,0.0002463033203867491,0.00043540078913869825,0.0048845671259750275,0.025621715982095346,0.0019680692827276306,,0.27509816295370937,0.00015208263675488607,0.03949177337745015
