measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Both,All ages,Cirrhosis and other chronic liver diseases,Rate,2007,18656.32944,20121.24293,17319.68078
Prevalence,Eswatini,Both,All ages,Road injuries,Rate,2007,1730.037129,1889.221942,1590.028866
Incidence,Eswatini,Both,All ages,Congenital heart anomalies,Rate,2007,64.82762596,85.90882555,49.93021213
Incidence,Eswatini,Both,All ages,Breast cancer,Rate,2007,11.38498476,17.00358357,6.904140624
Incidence,Eswatini,Both,All ages,Prostate cancer,Rate,2007,4.46668758,6.788557429,3.042318354
Incidence,Eswatini,Both,All ages,Road injuries,Rate,2007,1017.922155,1088.811532,945.1294088
Incidence,Eswatini,Both,All ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2007,29.45424521,30.96224577,28.16341554
Incidence,Eswatini,Both,All ages,Alzheimer's disease and other dementias,Rate,2007,35.57330039,40.18678479,30.8995674
Incidence,Eswatini,Both,All ages,Protein-energy malnutrition,Rate,2007,396.8287886,477.4257684,330.7170059
Incidence,Eswatini,Both,All ages,Opioid use disorders,Rate,2007,23.49265177,29.4350787,18.86136716
Incidence,Eswatini,Both,All ages,Diabetes mellitus type 2,Rate,2007,198.5439013,212.6147227,184.8114745
Incidence,Eswatini,Both,All ages,Acute hepatitis,Rate,2007,5584.987884,6230.038587,5129.99881
Incidence,Eswatini,Both,All ages,Musculoskeletal disorders,Rate,2007,2437.095794,2646.383244,2221.694538
Incidence,Eswatini,Both,All ages,Esophageal cancer,Rate,2007,4.613447863,6.453844152,3.049276098
Incidence,Eswatini,Both,All ages,Digestive congenital anomalies,Rate,2007,10.06416109,12.76738899,7.490511666
Incidence,Eswatini,Both,All ages,Down syndrome,Rate,2007,2.19745505,2.719202458,1.750361986
Incidence,Eswatini,Both,All ages,Other chromosomal abnormalities,Rate,2007,14.79436974,17.68642405,12.39194065
Incidence,Eswatini,Both,All ages,Neural tube defects,Rate,2007,2.216277109,2.621554655,1.849549207
Incidence,Eswatini,Both,All ages,Congenital musculoskeletal and limb anomalies,Rate,2007,57.12229893,82.20232137,39.66897037
Incidence,Eswatini,Both,All ages,Cervical cancer,Rate,2007,68.30079304,113.739018,34.32734609
Incidence,Eswatini,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2007,2.071630401,2.808943838,1.476177656
Incidence,Eswatini,Both,All ages,Colon and rectum cancer,Rate,2007,3.559132515,4.72672044,2.594684448
Incidence,Eswatini,Both,All ages,Interpersonal violence,Rate,2007,1155.343822,1290.846499,1043.672506
Incidence,Eswatini,Both,All ages,Cardiovascular diseases,Rate,2007,394.0055531,428.0813229,360.6761459
Incidence,Eswatini,Both,All ages,Cirrhosis and other chronic liver diseases,Rate,2007,847.9200979,925.3084511,770.202212
Incidence,Eswatini,Both,All ages,Asthma,Rate,2007,1300.842809,1632.513798,1007.532214
Incidence,Eswatini,Both,All ages,Parkinson's disease,Rate,2007,3.582581131,3.938499343,3.23686836
Incidence,Eswatini,Both,All ages,Diarrheal diseases,Rate,2007,115356.2834,134254.5687,99201.71477
Incidence,Eswatini,Both,All ages,Alcohol use disorders,Rate,2007,731.7130428,901.138048,571.0893373
Incidence,Eswatini,Both,All ages,Amphetamine use disorders,Rate,2007,8.583018978,12.43606191,5.321899699
