year,sex,AlcoholUseDisorder,Asthma,BreastCancer,COPD,CardiovascularDiseases,CervicalCancer,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,InterpersonalViolence,LungCancer,MajorDepressiveDisorder,ProstateCancer,RoadInjuries,Type1Diabetes,Type2Diabetes
2002,Female,0.004694649,0.065082715,0.001060081,0.0080761,0.039194063,0.001235897,0.051219037,0.174018466,0.000176316,0.035982793,4.91e-05,0.02754972,0.0,0.009136525,0.00202594,0.020296629
2002,Male,0.02907831,0.071583503,4.38e-05,0.008839791,0.037400505,,0.044720047,0.19363521,0.000243423,0.038483074,0.000172664,0.019508026,0.000468084,0.023771816,0.002088346,0.017109406
2003,Both,0.016225982,0.067822247,0.000604164,0.008494377,0.038604453,0.000698415,0.048691459,0.182324034,0.000217577,0.037508904,0.000112674,0.024148692,0.000225506,0.016552701,0.002058388,0.019503141
2003,Female,0.004723984,0.064492133,0.001098227,0.008130644,0.039468033,0.001316358,0.051720203,0.173216781,0.00018354,0.036072634,5.13e-05,0.027906589,0.0,0.009310493,0.002027554,0.021118356
2003,Male,0.029226558,0.07158647,4.57e-05,0.008905632,0.037628802,,0.045268559,0.192618755,0.000256049,0.039132488,0.000182097,0.019901578,0.000480381,0.024738501,0.002093268,0.017677643
2004,Both,0.016300669,0.067524727,0.000624833,0.008547082,0.038849236,0.00074179,0.049175534,0.181510154,0.000225389,0.037837213,0.000117167,0.024489057,0.000229197,0.016988471,0.002061436,0.020211317
2004,Female,0.004753115,0.063955902,0.001136439,0.008182249,0.039748651,0.001398131,0.052198693,0.172500409,0.000190717,0.036170354,5.36e-05,0.028231732,0.0,0.00946169,0.002029559,0.021962684
2004,Male,0.029352561,0.071558655,4.66e-05,0.008959575,0.037833088,,0.04575908,0.191694529,0.000264576,0.03972143,0.000188978,0.020259237,0.000488239,0.02549578,0.002097498,0.018232023
2005,Both,0.016391508,0.067228663,0.000643022,0.00859308,0.039090891,0.000776276,0.049607644,0.181303692,0.000230769,0.038086888,0.000118533,0.024755501,0.000230607,0.01723903,0.002066221,0.020935744
2005,Female,0.00478325,0.063521802,0.001171083,0.008227755,0.040033038,0.00146379,0.05264232,0.172297433,0.000196965,0.036277315,5.51e-05,0.028497374,0.0,0.009568592,0.002034172,0.022830259
2005,Male,0.029499474,0.071414504,4.67e-05,0.009005731,0.038027437,,0.046181537,0.191474392,0.000268938,0.040130494,0.00019018,0.02053065,0.000490992,0.02590041,0.002102446,0.018796775
2006,Both,0.016496992,0.066701624,0.000652267,0.008628356,0.039328632,0.000774727,0.050016468,0.180857244,0.000232554,0.038273628,0.000119002,0.024962366,0.000232655,0.017380912,0.002072351,0.021693236
2006,Female,0.004823219,0.063044107,0.001189518,0.008254556,0.040327282,0.00146218,0.053074402,0.171737478,0.00019809,0.036397185,5.59e-05,0.028722126,0.0,0.009664087,0.002041064,0.023729046
2006,Male,0.029653706,0.070823907,4.68e-05,0.009049745,0.038203539,,0.046570638,0.191136245,0.000271392,0.040388666,0.000190166,0.020725405,0.000494851,0.026078012,0.002107644,0.019399086
2007,Both,0.016604012,0.065820438,0.000668289,0.008653759,0.039562347,0.000780259,0.050441958,0.179459205,0.000236668,0.038450123,0.000120687,0.025157085,0.000237573,0.017532372,0.002078599,0.022491775
2007,Female,0.004877097,0.062387153,0.001220435,0.008266194,0.040650693,0.001474317,0.053545964,0.170189056,0.000200594,0.036529278,5.68e-05,0.02895083,0.0,0.009785384,0.002048724,0.02468369
2007,Male,0.02978825,0.069680564,4.75e-05,0.00908957,0.038339178,,0.046952713,0.18988195,0.00027722,0.040609895,0.000192506,0.020892251,0.000504659,0.026242096,0.002112214,0.020027712
2008,Both,0.016714443,0.064748139,0.000679251,0.008680889,0.039812046,0.000768029,0.050899563,0.177813295,0.000238472,0.038616861,0.000121309,0.025350552,0.000242754,0.017680601,0.002085732,0.02333864
2008,Female,0.004938656,0.061624115,0.00124194,0.008283678,0.041021289,0.00145303,0.054087373,0.168415982,0.000199743,0.036669894,5.69e-05,0.029189751,0.0,0.009917241,0.002057761,0.025717901
2008,Male,0.029918437,0.06825125,4.83e-05,0.009126338,0.038456592,,0.047325594,0.188350786,0.000281892,0.040800192,0.000193561,0.021046035,0.000514941,0.02638554,0.002117119,0.020671038
2009,Both,0.016837366,0.063646876,0.000696499,0.00872182,0.040095698,0.0007687,0.051403059,0.176604245,0.0002415,0.038776666,0.000121804,0.025551996,0.000249021,0.017817696,0.002094379,0.024239804
2009,Female,0.005000307,0.060827523,0.001275515,0.008325831,0.041445163,0.001456249,0.054710716,0.167125932,0.000201327,0.036810038,5.75e-05,0.029441492,0.0,0.010041503,0.00206842,0.026848061
2009,Male,0.030072382,0.066799392,4.91e-05,0.009164623,0.038587348,,0.047705227,0.187202268,0.000286408,0.04097581,0.000193664,0.021203418,0.000527444,0.026512272,0.002123425,0.021323727
2010,Both,0.016985379,0.062682476,0.000710904,0.008790752,0.040436153,0.000757535,0.051971806,0.17649396,0.000242403,0.038935418,0.000118965,0.025768115,0.000256013,0.017939981,0.002105178,0.025204621
2010,Female,0.005053997,0.060072106,0.001304352,0.008411601,0.041924699,0.001437261,0.055423882,0.16698552,0.000201182,0.036940079,5.65e-05,0.0297013,0.0,0.010138973,0.002080839,0.028087785
2010,Male,0.030283427,0.065592042,4.95e-05,0.009213373,0.038777642,,0.048124799,0.187091763,0.000288336,0.041159612,0.000188609,0.021384642,0.000541345,0.026634562,0.002132325,0.021991433
2011,Both,0.017113958,0.061764664,0.000725793,0.008892106,0.040871085,0.000743239,0.052648724,0.176735473,0.000242727,0.039047762,0.000117272,0.026085713,0.00026468,0.017941303,0.002123111,0.02635896
2011,Female,0.00505586,0.05924926,0.001334452,0.008539376,0.042481146,0.001412447,0.056246502,0.167284217,0.000200518,0.037038599,5.64e-05,0.030062464,0.0,0.010133789,0.002099296,0.029617819
2011,Male,0.03050672,0.064558698,4.98e-05,0.009283933,0.039083328,,0.048653235,0.187233361,0.000289599,0.041279605,0.000184921,0.021669053,0.000558654,0.026613025,0.002149584,0.022739628
2012,Both,0.01719846,0.060773625,0.000748557,0.009015334,0.041389861,0.000747365,0.053426788,0.176458018,0.000246288,0.039089116,0.00011705,0.026527555,0.000275354,0.017772295,0.002149923,0.0277166
2012,Female,0.004992679,0.058296008,0.001379287,0.008691798,0.043114317,0.001422766,0.057163554,0.167144198,0.00020305,0.037099068,5.7e-05,0.030555066,0.0,0.010001185,0.002125231,0.031459268
2012,Male,0.03070537,0.063515571,5.06e-05,0.00937343,0.039482097,,0.049292246,0.186765494,0.000294129,0.041291594,0.000183509,0.022071025,0.000580059,0.02637183,0.002177274,0.023575212
2013,Both,0.017280005,0.059835325,0.000773472,0.009156219,0.041957949,0.000755691,0.054264115,0.176125825,0.000250386,0.039101346,0.000116661,0.027010252,0.000286833,0.017519723,0.002181474,0.029120402
2013,Female,0.004904813,0.057361008,0.001428467,0.008864206,0.043792828,0.001441323,0.058133966,0.166969723,0.000206474,0.037140258,5.78e-05,0.031085688,0.0,0.009802029,0.002154692,0.033367145
2013,Male,0.030920387,0.062562835,5.15e-05,0.009478174,0.03993602,,0.049999249,0.18621913,0.000298782,0.041263224,0.000181559,0.022518527,0.000602988,0.026026482,0.002211028,0.024439737
2014,Both,0.017403805,0.059062348,0.000797337,0.009311868,0.042540266,0.000760231,0.055123748,0.176197136,0.000253648,0.039128283,0.000115441,0.027454097,0.00029816,0.01727793,0.002213419,0.030407303
2014,Female,0.004835172,0.056583415,0.001476307,0.009053252,0.044487421,0.001452962,0.059123797,0.16715631,0.000209546,0.03717974,5.84e-05,0.031570431,0.0,0.009602034,0.002183518,0.03508384
2014,Male,0.031198018,0.061783261,5.22e-05,0.009595807,0.040403828,,0.050734345,0.186120977,0.000302046,0.041267142,0.0001781,0.022936826,0.00062539,0.025702367,0.002246276,0.025274989
2015,Both,0.0176149,0.058577184,0.00081785,0.009480715,0.043108843,0.000755998,0.055973141,0.177109606,0.000256723,0.039217118,0.000115902,0.027778876,0.000309265,0.017146125,0.002241469,0.031409211
