age,sex,2020,2021,2022,2023,2024
34,Female,750847.8860161548,737297.1349578539,731509.786856814,733082.5105809973,739049.0446966841
34,Male,733328.9870214274,720672.350343552,715115.4736525577,717866.9392842961,723782.0664269091
35,Female,738878.0860161547,726728.1349578539,721363.586856814,723616.1105809973,730676.4446966841
35,Male,720570.9870214274,709562.350343552,704569.0736525577,708183.5392842961,716137.2664269091
36,Female,738878.0860161547,726728.1349578539,721363.586856814,723616.1105809973,730676.4446966841
36,Male,720570.9870214274,709562.350343552,704569.0736525577,708183.5392842961,716137.2664269091
37,Female,738878.0860161547,726728.1349578539,721363.586856814,723616.1105809973,730676.4446966841
37,Male,720570.9870214274,709562.350343552,704569.0736525577,708183.5392842961,716137.2664269091
38,Female,738878.0860161547,726728.1349578539,721363.586856814,723616.1105809973,730676.4446966841
38,Male,720570.9870214274,709562.350343552,704569.0736525577,708183.5392842961,716137.2664269091
39,Female,738878.0860161547,726728.1349578539,721363.586856814,723616.1105809973,730676.4446966841
39,Male,720570.9870214274,709562.350343552,704569.0736525577,708183.5392842961,716137.2664269091
40,Female,728634.4860161548,718034.7349578539,713563.186856814,716236.7105809973,721945.4446966841
40,Male,708135.1870214273,698731.1503435519,694694.4736525577,698651.9392842961,705061.6664269092
41,Female,728634.4860161548,718034.7349578539,713563.186856814,716236.7105809973,721945.4446966841
41,Male,708135.1870214273,698731.1503435519,694694.4736525577,698651.9392842961,705061.6664269092
42,Female,728634.4860161548,718034.7349578539,713563.186856814,716236.7105809973,721945.4446966841
42,Male,708135.1870214273,698731.1503435519,694694.4736525577,698651.9392842961,705061.6664269092
43,Female,728634.4860161548,718034.7349578539,713563.186856814,716236.7105809973,721945.4446966841
43,Male,708135.1870214273,698731.1503435519,694694.4736525577,698651.9392842961,705061.6664269092
44,Female,728634.4860161548,718034.7349578539,713563.186856814,716236.7105809973,721945.4446966841
44,Male,708135.1870214273,698731.1503435519,694694.4736525577,698651.9392842961,705061.6664269092
45,Female,591541.319349488,579260.3849578539,572196.7701901473,570749.8105809973,572574.9946966841
45,Male,565199.7870214274,553016.3336768852,545766.6403192243,545669.3559509628,548052.4997602425
46,Female,591541.319349488,579260.3849578539,572196.7701901473,570749.8105809973,572574.9946966841
46,Male,565199.7870214274,553016.3336768852,545766.6403192243,545669.3559509628,548052.4997602425
47,Female,591541.319349488,579260.3849578539,572196.7701901473,570749.8105809973,572574.9946966841
47,Male,565199.7870214274,553016.3336768852,545766.6403192243,545669.3559509628,548052.4997602425
48,Female,591541.319349488,579260.3849578539,572196.7701901473,570749.8105809973,572574.9946966841
48,Male,565199.7870214274,553016.3336768852,545766.6403192243,545669.3559509628,548052.4997602425
49,Female,591541.319349488,579260.3849578539,572196.7701901473,570749.8105809973,572574.9946966841
49,Male,565199.7870214274,553016.3336768852,545766.6403192243,545669.3559509628,548052.4997602425
50,Female,602032.119349488,592331.784957854,584192.9701901473,579636.6105809973,577100.7946966841
50,Male,574843.3870214274,565656.9336768852,557482.0403192244,553962.9559509628,551577.2997602425
51,Female,602032.119349488,592331.784957854,584192.9701901473,579636.6105809973,577100.7946966841
51,Male,574843.3870214274,565656.9336768852,557482.0403192244,553962.9559509628,551577.2997602425
52,Female,602032.119349488,592331.784957854,584192.9701901473,579636.6105809973,577100.7946966841
52,Male,574843.3870214274,565656.9336768852,557482.0403192244,553962.9559509628,551577.2997602425
53,Female,602032.119349488,592331.784957854,584192.9701901473,579636.6105809973,577100.7946966841
53,Male,574843.3870214274,565656.9336768852,557482.0403192244,553962.9559509628,551577.2997602425
54,Female,602032.119349488,592331.784957854,584192.9701901473,579636.6105809973,577100.7946966841
54,Male,574843.3870214274,565656.9336768852,557482.0403192244,553962.9559509628,551577.2997602425
55,Female,611486.319349488,600756.9849578539,591991.3701901473,586901.8105809973,584372.5946966842
55,Male,581673.7870214274,571306.7336768853,562585.2403192243,558979.1559509628,557174.0997602425
56,Female,611486.319349488,600756.9849578539,591991.3701901473,586901.8105809973,584372.5946966842
56,Male,581673.7870214274,571306.7336768853,562585.2403192243,558979.1559509628,557174.0997602425
57,Female,611486.319349488,600756.9849578539,591991.3701901473,586901.8105809973,584372.5946966842
57,Male,581673.7870214274,571306.7336768853,562585.2403192243,558979.1559509628,557174.0997602425
58,Female,611486.319349488,600756.9849578539,591991.3701901473,586901.8105809973,584372.5946966842
58,Male,581673.7870214274,571306.7336768853,562585.2403192243,558979.1559509628,557174.0997602425
59,Female,611486.319349488,600756.9849578539,591991.3701901473,586901.8105809973,584372.5946966842
59,Male,581673.7870214274,571306.7336768853,562585.2403192243,558979.1559509628,557174.0997602425
