Time,Sex,Age,mx
2001,Male,78,0.1075268817204301
2001,Male,79,0.1111111111111111
2001,Male,80,0.119205298013245
2001,Male,81,0.1299999999999999
2001,Male,82,0.1477272727272727
2001,Male,83,0.1599999999999999
2001,Male,84,0.1746031746031746
2001,Male,85,0.1941747572815534
2001,Male,86,0.2142857142857143
2001,Male,87,0.225563909774436
2001,Male,88,0.2476190476190476
2001,Male,89,0.2716049382716049
2001,Male,90,0.2950819672131147
2001,Male,91,0.3111111111111111
2001,Male,92,0.375
2001,Male,93,0.3636363636363636
2001,Male,94,0.4
2001,Male,95,0.4
2001,Male,96,0.4
2001,Male,97,0.6666666666666666
2001,Male,98,0.6666666666666666
2001,Male,99,0.0
2001,Female,0,0.0795238698239838
2001,Female,1,0.0163005198725473
2001,Female,2,0.0101765529488098
2001,Female,3,0.006699126351048
2001,Female,4,0.0045276805927145
2001,Female,5,0.0032282504858846
2001,Female,6,0.0026758409785932
2001,Female,7,0.0024720311856241
2001,Female,8,0.0022987037864759
2001,Female,9,0.002196098695259
2001,Female,10,0.0020889091977283
2001,Female,11,0.002124975097948
2001,Female,12,0.0022270963387885
2001,Female,13,0.0023865534758446
2001,Female,14,0.0027609055770292
2001,Female,15,0.003227843660094
2001,Female,16,0.0036949827929722
2001,Female,17,0.0043216194700329
2001,Female,18,0.0050005953089653
2001,Female,19,0.0057401938355309
2001,Female,20,0.0065711657247995
2001,Female,21,0.0072222222222222
2001,Female,22,0.0082555282555282
2001,Female,23,0.0092214188410353
2001,Female,24,0.0102724430549352
2001,Female,25,0.0113933064324709
2001,Female,26,0.0124223602484472
2001,Female,27,0.0135678060989264
2001,Female,28,0.0142876768786921
2001,Female,29,0.0151783814454925
2001,Female,30,0.0159674843954129
2001,Female,31,0.0166419019316493
2001,Female,32,0.0176231706382652
2001,Female,33,0.0186142709410548
2001,Female,34,0.0194719471947194
2001,Female,35,0.0205590009345
2001,Female,36,0.0211150859436349
2001,Female,37,0.0219701062488744
2001,Female,38,0.0227909583411171
2001,Female,39,0.0232243081091542
2001,Female,40,0.0236662655435218
2001,Female,41,0.0241515719342077
2001,Female,42,0.0243108313436075
2001,Female,43,0.0250341374601729
2001,Female,44,0.0255339458298532
2001,Female,45,0.0261617042481624
2001,Female,46,0.0267289477098741
2001,Female,47,0.0275229357798165
2001,Female,48,0.0282715185444366
2001,Female,49,0.0290107339715694
2001,Female,50,0.0299682155289844
2001,Female,51,0.031561996779388
2001,Female,52,0.0316925151719487
2001,Female,53,0.0316356683469494
2001,Female,54,0.0331210191082802
2001,Female,55,0.0345295829291949
2001,Female,56,0.0359682141363446
2001,Female,57,0.0374295377677564
2001,Female,58,0.0384061449831973
2001,Female,59,0.0397284385214986
2001,Female,60,0.0410958904109589
2001,Female,61,0.043974394656276
2001,Female,62,0.0462633451957295
2001,Female,63,0.0499040307101727
2001,Female,64,0.0532687651331719
2001,Female,65,0.0584166026133743
2001,Female,66,0.0608622147083685
2001,Female,67,0.0630797773654916
2001,Female,68,0.0652395514780836
2001,Female,69,0.0665188470066518
2001,Female,70,0.0675755779490219
2001,Female,71,0.0697384806973848
2001,Female,72,0.0718484650555192
2001,Female,73,0.0766550522648083
2001,Female,74,0.0796393688955672
2001,Female,75,0.0825910931174089
2001,Female,76,0.0857392825896763
2001,Female,77,0.0892687559354226
2001,Female,78,0.0950413223140495
2001,Female,79,0.09695603156708
2001,Female,80,0.1039603960396039
2001,Female,81,0.113103448275862
2001,Female,82,0.1291338582677165
2001,Female,83,0.1431192660550458
2001,Female,84,0.1605206073752711
2001,Female,85,0.1770833333333333
2001,Female,86,0.1923076923076923
2001,Female,87,0.2151394422310757
2001,Female,88,0.233502538071066
2001,Female,89,0.2516556291390728
2001,Female,90,0.2807017543859649
2001,Female,91,0.3132530120481927
2001,Female,92,0.3333333333333333
2001,Female,93,0.3636363636363636
2001,Female,94,0.4
2001,Female,95,0.4
2001,Female,96,0.4615384615384615
2001,Female,97,0.5
2001,Female,98,0.4
2001,Female,99,0.4
