Time,Sex,Age,mx
2011,Female,65,0.011097997
2011,Female,70,0.017430564
2011,Female,75,0.02905097
2011,Female,0,0.004734821
2011,Female,80,0.049331332
2011,Female,85,0.088509612
2011,Female,90,0.157835291
2011,Female,2,0.000153247
2011,Female,95,0.267558929
2012,Female,5,8.81956E-05
2012,Female,10,9.89347E-05
2012,Female,15,0.000199054
2012,Female,20,0.00032778
2012,Female,25,0.000384986
2012,Female,30,0.000514837
2012,Female,35,0.000747468
2012,Female,40,0.001183646
2012,Female,45,0.001986956
2012,Female,50,0.003072267
2012,Female,55,0.004628495
2012,Female,60,0.006773373
2012,Female,65,0.010741109
2012,Female,70,0.017185109
2012,Female,75,0.028470965
2012,Female,0,0.004574733
2012,Female,80,0.048410079
2012,Female,85,0.087035103
2012,Female,90,0.156544986
2012,Female,2,0.000153344
2012,Female,95,0.266406109
2013,Female,5,8.49041E-05
2013,Female,10,9.54746E-05
2013,Female,15,0.000190121
2013,Female,20,0.000322968
2013,Female,25,0.000386454
2013,Female,30,0.000521032
2013,Female,35,0.000759308
2013,Female,40,0.00118546
2013,Female,45,0.001951899
2013,Female,50,0.003068088
2013,Female,55,0.004626794
2013,Female,60,0.006731796
2013,Female,65,0.010537752
2013,Female,70,0.017044434
2013,Female,75,0.027991937
2013,Female,0,0.004421303
2013,Female,80,0.047900394
2013,Female,85,0.085846183
2013,Female,90,0.156238593
2013,Female,2,0.000148201
2013,Female,95,0.266000618
2014,Female,5,8.38505E-05
2014,Female,10,9.39292E-05
2014,Female,15,0.000185725
2014,Female,20,0.000323814
2014,Female,25,0.000399071
2014,Female,30,0.000540918
2014,Female,35,0.000782001
2014,Female,40,0.001196425
2014,Female,45,0.001915017
2014,Female,50,0.003034089
2014,Female,55,0.004556175
2014,Female,60,0.006637442
2014,Female,65,0.010231256
2014,Female,70,0.016599056
2014,Female,75,0.027101924
2014,Female,0,0.004296129
2014,Female,80,0.047016815
2014,Female,85,0.082847485
2014,Female,90,0.154981265
2014,Female,2,0.000144031
2014,Female,95,0.26481287
2015,Female,5,8.70274E-05
2015,Female,10,9.70252E-05
2015,Female,15,0.00019013
2015,Female,20,0.000341224
2015,Female,25,0.000431532
2015,Female,30,0.000585225
2015,Female,35,0.000814681
2015,Female,40,0.001200547
2015,Female,45,0.001888113
2015,Female,50,0.003002486
2015,Female,55,0.004473019
2015,Female,60,0.006560717
2015,Female,65,0.01009539
2015,Female,70,0.0166441
2015,Female,75,0.026942869
2015,Female,0,0.004220211
2015,Female,80,0.047655126
2015,Female,85,0.084732966
2015,Female,90,0.154247029
2015,Female,2,0.000143013
2015,Female,95,0.263887393
2016,Female,5,8.81064E-05
2016,Female,10,9.68148E-05
2016,Female,15,0.000190248
2016,Female,20,0.000360074
2016,Female,25,0.000471243
2016,Female,30,0.000634207
2016,Female,35,0.000855283
2016,Female,40,0.001216949
2016,Female,45,0.001886429
2016,Female,50,0.003005593
2016,Female,55,0.004493986
2016,Female,60,0.006601538
2016,Female,65,0.009996663
2016,Female,70,0.016526239
2016,Female,75,0.026395301
2016,Female,0,0.004145804
2016,Female,80,0.046280477
2016,Female,85,0.081756712
2016,Female,90,0.154145511
2016,Female,2,0.000136162
2016,Female,95,0.263439752
2017,Female,5,9.08114E-05
2017,Female,10,9.70391E-05
2017,Female,15,0.000186503
2017,Female,20,0.000361526
2017,Female,25,0.000479165
2017,Female,30,0.000637066
2017,Female,35,0.000850756
2017,Female,40,0.001198288
2017,Female,45,0.001847377
2017,Female,50,0.002919309
2017,Female,55,0.004449991
2017,Female,60,0.006547386
2017,Female,65,0.009800042
2017,Female,70,0.016080227
2017,Female,75,0.026128703
2017,Female,0,0.004029042
2017,Female,80,0.045866392
2017,Female,85,0.082186752
2017,Female,90,0.153717059
2017,Female,2,0.000128427
2017,Female,95,0.262689878
2018,Female,5,9.0568E-05
2018,Female,10,9.55339E-05
2018,Female,15,0.000179203
2018,Female,20,0.000352463
2018,Female,25,0.000469143
2018,Female,30,0.000621963
2018,Female,35,0.000838747
2018,Female,40,0.001179523
2018,Female,45,0.001811596
2018,Female,50,0.002808183
2018,Female,55,0.004360267
2018,Female,60,0.006431711
2018,Female,65,0.009593971
2018,Female,70,0.01558486
2018,Female,75,0.025874511
2018,Female,0,0.003883356
2018,Female,80,0.045660916
2018,Female,85,0.083017175
2018,Female,90,0.153382196
2018,Female,2,0.000120155
2018,Female,95,0.262367774
2019,Female,5,8.79962E-05
2019,Female,10,9.38042E-05
2019,Female,15,0.000179142
2019,Female,20,0.000359912
2019,Female,25,0.000477929
2019,Female,30,0.000637994
2019,Female,35,0.00087146
2019,Female,40,0.001207599
2019,Female,45,0.001819077
2019,Female,50,0.002757036
2019,Female,55,0.004320192
2019,Female,60,0.006425522
2019,Female,65,0.009484586
2019,Female,70,0.015181116
2019,Female,75,0.025261028
2019,Female,0,0.003689954
2019,Female,80,0.044424078
2019,Female,85,0.081968769
2019,Female,90,0.152294114
2019,Female,2,0.000107842
2019,Female,95,0.261539692
2020,Female,5,8.73683E-05
2020,Female,10,9.53964E-05
2020,Female,15,0.000193905
2020,Female,20,0.000406172
2020,Female,25,0.000575696
2020,Female,30,0.00079332
2020,Female,35,0.00108842
2020,Female,40,0.001527602
2020,Female,45,0.002276073
2020,Female,50,0.003439228
2020,Female,55,0.00544648
2020,Female,60,0.008123059
2020,Female,65,0.012164541
2020,Female,70,0.019056117
2020,Female,75,0.0317378
2020,Female,0,0.003593199
2020,Female,80,0.053983318
2020,Female,85,0.101932823
2020,Female,90,0.17866451
2020,Female,2,0.000102077
2020,Female,95,0.299718388
2021,Female,5,9.77734E-05
2021,Female,10,0.000100413
2021,Female,15,0.000195181
2021,Female,20,0.000382821
2021,Female,25,0.000574316
2021,Female,30,0.000859179
2021,Female,35,0.001193457
2021,Female,40,0.001536803
2021,Female,45,0.002197399
2021,Female,50,0.0034343
2021,Female,55,0.005077307
2021,Female,60,0.007442899
2021,Female,65,0.011213196
2021,Female,70,0.01710625
2021,Female,75,0.029115506
2021,Female,0,0.003688076
2021,Female,80,0.047991595
2021,Female,85,0.087206033
2021,Female,90,0.166421697
2021,Female,2,0.000112231
2021,Female,95,0.282832167
1990,Male,5,0.000228044
1990,Male,10,0.000271121
1990,Male,15,0.001115228
1990,Male,20,0.001693104
1990,Male,25,0.002160658
1990,Male,30,0.003049169
1990,Male,35,0.004317304
1990,Male,40,0.004943148
1990,Male,45,0.006042702
1990,Male,50,0.008268975
1990,Male,55,0.012160094
1990,Male,60,0.0185389
1990,Male,65,0.028331366
1990,Male,70,0.04272094
1990,Male,75,0.065469475
1990,Male,0,0.011154306
1990,Male,80,0.09995126
1990,Male,85,0.150742939
1990,Male,90,0.224588451
1990,Male,2,0.000384501
1990,Male,95,0.311216755
1991,Male,5,0.000215409
1991,Male,10,0.000266773
1991,Male,15,0.001124758
1991,Male,20,0.001654588
1991,Male,25,0.002090913
1991,Male,30,0.002929409
1991,Male,35,0.00422209
1991,Male,40,0.005078883
1991,Male,45,0.006041856
1991,Male,50,0.008106789
1991,Male,55,0.011920736
1991,Male,60,0.018048613
1991,Male,65,0.02753928
1991,Male,70,0.041354118
1991,Male,75,0.063852698
1991,Male,0,0.010512819
1991,Male,80,0.097133383
1991,Male,85,0.148819488
1991,Male,90,0.223611104
1991,Male,2,0.00037073
1991,Male,95,0.310423558
1992,Male,5,0.000209759
1992,Male,10,0.000261803
1992,Male,15,0.001078804
1992,Male,20,0.001587534
1992,Male,25,0.001998871
1992,Male,30,0.002849061
1992,Male,35,0.004102274
1992,Male,40,0.005221085
1992,Male,45,0.006029397
1992,Male,50,0.008055813
1992,Male,55,0.011774972
1992,Male,60,0.017678168
1992,Male,65,0.026964895
1992,Male,70,0.040078148
1992,Male,75,0.062691415
1992,Male,0,0.009932844
1992,Male,80,0.094482203
1992,Male,85,0.147259044
1992,Male,90,0.223482032
1992,Male,2,0.00036846
1992,Male,95,0.309275015
1993,Male,5,0.000211612
1993,Male,10,0.000265634
1993,Male,15,0.001068663
1993,Male,20,0.001576303
1993,Male,25,0.001972072
1993,Male,30,0.002888295
1993,Male,35,0.004048208
1993,Male,40,0.005315549
1993,Male,45,0.006006243
1993,Male,50,0.008114182
1993,Male,55,0.011881439
1993,Male,60,0.017838825
1993,Male,65,0.027138789
1993,Male,70,0.040421347
1993,Male,75,0.06354824
1993,Male,0,0.009494336
1993,Male,80,0.097005465
1993,Male,85,0.152572691
1993,Male,90,0.223241688
1993,Male,2,0.000364902
1993,Male,95,0.308183758
1994,Male,5,0.000207405
1994,Male,10,0.000266209
1994,Male,15,0.001017111
1994,Male,20,0.001514459
1994,Male,25,0.00186965
1994,Male,30,0.002872005
1994,Male,35,0.003983934
1994,Male,40,0.005369131
1994,Male,45,0.006099684
1994,Male,50,0.008124772
1994,Male,55,0.011650532
1994,Male,60,0.017557422
1994,Male,65,0.026448587
1994,Male,70,0.039566645
1994,Male,75,0.060611187
1994,Male,0,0.008933125
1994,Male,80,0.094331788
1994,Male,85,0.149047812
1994,Male,90,0.22222472
1994,Male,2,0.000355112
1994,Male,95,0.307504751
1995,Male,5,0.000199895
1995,Male,10,0.000253569
1995,Male,15,0.000913931
1995,Male,20,0.001396457
1995,Male,25,0.001695307
1995,Male,30,0.002672893
1995,Male,35,0.003711963
1995,Male,40,0.005113469
1995,Male,45,0.006072428
1995,Male,50,0.007915136
1995,Male,55,0.011207929
1995,Male,60,0.017063184
1995,Male,65,0.025524792
1995,Male,70,0.038625626
1995,Male,75,0.059128103
1995,Male,0,0.00832647
1995,Male,80,0.093564705
1995,Male,85,0.146898071
1995,Male,90,0.221305014
1995,Male,2,0.000326685
1995,Male,95,0.305714161
1996,Male,5,0.000189731
1996,Male,10,0.000233001
1996,Male,15,0.000801351
1996,Male,20,0.001244053
1996,Male,25,0.001402278
1996,Male,30,0.002110705
1996,Male,35,0.002931426
1996,Male,40,0.004211899
1996,Male,45,0.005470206
1996,Male,50,0.007338602
1996,Male,55,0.010667243
1996,Male,60,0.016549851
1996,Male,65,0.024866916
1996,Male,70,0.037743674
1996,Male,75,0.058347995
1996,Male,0,0.00781709
1996,Male,80,0.092833453
1996,Male,85,0.144825453
1996,Male,90,0.220283286
1996,Male,2,0.000300594
1996,Male,95,0.304777836
1997,Male,5,0.000175439
1997,Male,10,0.000214449
1997,Male,15,0.000726579
1997,Male,20,0.001148095
1997,Male,25,0.001190584
1997,Male,30,0.001640184
1997,Male,35,0.00225653
1997,Male,40,0.003376264
1997,Male,45,0.004802108
1997,Male,50,0.006638826
1997,Male,55,0.009978839
1997,Male,60,0.015715507
1997,Male,65,0.024210979
1997,Male,70,0.036871253
1997,Male,75,0.05687531
1997,Male,0,0.007475215
1997,Male,80,0.090364281
1997,Male,85,0.14157087
1997,Male,90,0.218554243
1997,Male,2,0.000275894
1997,Male,95,0.30368592
1998,Male,5,0.000165284
1998,Male,10,0.000201741
1998,Male,15,0.000690249
1998,Male,20,0.00108938
1998,Male,25,0.001081871
1998,Male,30,0.00142303
1998,Male,35,0.001981525
1998,Male,40,0.003025395
1998,Male,45,0.004533194
1998,Male,50,0.006320507
1998,Male,55,0.009670133
1998,Male,60,0.015184056
1998,Male,65,0.023444857
1998,Male,70,0.036022293
1998,Male,75,0.055528722
1998,Male,0,0.007185915
1998,Male,80,0.088439512
1998,Male,85,0.139063608
1998,Male,90,0.217281268
1998,Male,2,0.000257897
1998,Male,95,0.302484557
1999,Male,5,0.000157204
1999,Male,10,0.000193874
1999,Male,15,0.000672578
1999,Male,20,0.001065398
1999,Male,25,0.001049186
1999,Male,30,0.001337798
1999,Male,35,0.001896797
1999,Male,40,0.002899571
1999,Male,45,0.004498015
1999,Male,50,0.006348468
1999,Male,55,0.009729487
1999,Male,60,0.015048396
1999,Male,65,0.023222905
1999,Male,70,0.035898397
1999,Male,75,0.055784494
1999,Male,0,0.007062264
1999,Male,80,0.089362772
1999,Male,85,0.143220992
1999,Male,90,0.217473156
1999,Male,2,0.000247406
1999,Male,95,0.301794744
2000,Male,5,0.000148496
