age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
10,Male,72891,73543,74197,74873,75571,76298,77096,77950,78843,79823,80897,82124,83435,84889,86178,87362,87287,89782,90709,91341,91480,90968,89868,88522,87341,86425,86276,86649,87604,89059,90615,91762,92458,92917,93378,93796,94226
11,Male,72556,73216,73878,74561,75268,76004,76811,77677,78582,79576,80663,81906,83234,84706,86011,87208,87118,89657,90593,91231,91369,90848,89731,88363,87161,86225,86071,86448,87419,88897,90478,91645,92352,92819,93288,93711,94148
12,Male,72247,72913,73582,74272,74987,75730,76546,77422,78339,79345,80444,81701,83044,84533,85853,87062,86957,89537,90481,91123,91258,90727,89592,88202,86979,86023,85862,86241,87228,88728,90335,91521,92242,92718,93195,93624,94069
13,Male,71945,72617,73292,73988,74711,75461,76285,77171,78099,79116,80227,81497,82855,84360,85695,86915,86798,89415,90367,91012,91144,90603,89450,88037,86792,85814,85645,86027,87029,88553,90186,91391,92126,92612,93097,93533,93986
14,Male,71641,72319,73000,73702,74431,75188,76020,76916,77855,78883,80005,81289,82661,84182,85532,86762,86636,89288,90246,90894,91022,90470,89298,87861,86593,85593,85415,85798,86816,88364,90024,91251,92000,92497,92991,93435,93896
15,Male,71330,72013,72699,73406,74143,74906,75745,76650,77601,78640,79774,81070,82457,83993,85358,86599,86467,89149,90114,90764,90887,90322,89130,87666,86373,85348,85158,85542,86576,88151,89839,91090,91856,92366,92870,93322,93793
16,Male,71007,71694,72385,73097,73841,74610,75456,76371,77333,78383,79528,80837,82238,83791,85169,86422,86286,88995,89966,90616,90733,90153,88937,87444,86120,85067,84861,85245,86298,87902,89621,90899,91686,92211,92727,93189,93672
17,Male,70663,71356,72051,72768,73518,74293,75146,76070,77044,78105,79261,80582,81998,83566,84960,86223,86087,88821,89797,90447,90556,89959,88717,87191,85835,84751,84527,84910,85982,87616,89370,90677,91487,92029,92559,93032,93529
18,Male,70294,70990,71690,72411,73167,73948,74808,75743,76728,77802,78969,80302,81734,83318,84728,86002,85866,88624,89605,90252,90350,89732,88460,86895,85501,84379,84131,84510,85604,87274,89066,90409,91246,91810,92358,92844,93359
19,Male,69899,70599,71303,72027,72790,73576,74443,75388,76387,77473,78651,79998,81445,83046,84473,85757,85621,88403,89387,90031,90114,89471,88165,86556,85117,83953,83674,84047,85165,86874,88709,90092,90962,91553,92122,92623,93159
20,Male,69465,70169,70878,71605,72376,73168,74042,74999,76013,77112,78303,79664,81128,82748,84193,85490,85354,88161,89150,89788,89854,89184,87838,86178,84689,83476,83161,83527,84671,86425,88307,89736,90644,91266,91859,92378,92938
21,Male,68990,69699,70413,71145,71923,72722,73604,74574,75605,76720,77925,79301,80785,82425,83891,85201,85067,87901,88893,89525,89571,88868,87477,85758,84210,82940,82582,82937,84110,85917,87852,89333,90286,90944,91567,92108,92697
22,Male,68483,69196,69915,70652,71439,72244,73135,74120,75169,76300,77521,78914,80419,82082,83570,84894,84763,87625,88620,89245,89267,88526,87082,85296,83680,82345,81933,82274,83478,85345,87338,88881,89887,90587,91246,91814,92436
23,Male,67949,68668,69392,70133,70929,71742,72642,73641,74711,75859,77097,78508,80035,81723,83235,84574,84445,87337,88335,88948,88942,88157,86653,84790,83095,81685,81209,81531,82767,84704,86759,88372,89440,90192,90894,91493,92156
24,Male,67400,68123,68852,69597,70402,71222,72132,73147,74238,75405,76659,78090,79640,81353,82891,84245,84118,87040,88039,88639,88600,87764,86193,84242,82458,80963,80410,80709,81976,83992,86113,87806,88947,89759,90512,91141,91859
25,Male,66838,67566,68300,69049,69863,70690,71609,72641,73754,74939,76211,77662,79236,80976,82539,83909,83784,86736,87736,88319,88242,87350,85704,83656,81772,80180,79539,79807,81105,83209,85400,87181,88407,89288,90101,90752,91546
