age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
19,Female,71567,72320,73083,73865,74662,75518,76438,77428,78476,79595,80820,82146,83591,84875,86282,87571,87346,90063,91031,91627,91722,91124,89889,88334,86850,85632,85310,85602,86683,88218,90075,91343,92144,92745,93207,93620,94093
20,Female,71162,71920,72689,73476,74280,75144,76070,77073,78137,79271,80512,81851,83313,84620,86048,87354,87134,89878,90858,91452,91530,90891,89600,87982,86439,85167,84802,85074,86182,87737,89666,90994,91855,92507,93002,93446,93946
21,Female,70736,71498,72272,73066,73877,74747,75682,76698,77778,78929,80186,81539,83019,84349,85801,87126,86911,89684,90675,91267,91322,90636,89279,87585,85974,84639,84223,84468,85609,87186,89192,90595,91528,92240,92776,93256,93789
22,Female,70284,71051,71830,72631,73450,74327,75270,76301,77399,78568,79842,81210,82710,84064,85542,86886,86678,89480,90483,91073,91103,90364,88933,87154,85468,84061,83589,83802,84982,86584,88669,90162,91173,91952,92534,93054,93622
23,Female,69810,70582,71367,72175,73001,73885,74836,75883,77001,78189,79481,80864,82385,83765,85271,86636,86434,89267,90282,90868,90869,90068,88551,86672,84902,83412,82872,83045,84272,85899,88069,89672,90775,91632,92269,92835,93444
24,Female,69317,70094,70884,71699,72533,73425,74384,75448,76586,77794,79105,80504,82046,83453,84989,86375,86179,89044,90073,90653,90621,89750,88134,86141,84275,82690,82074,82197,83480,85133,87390,89127,90335,91282,91980,92596,93255
25,Female,68807,69587,70383,71205,72047,72946,73913,74995,76154,77384,78715,80130,81694,83128,84696,86104,85914,88812,89854,90428,90358,89409,87682,85559,83588,81896,81194,81257,82604,84285,86631,88525,89851,90900,91668,92332,93054
26,Female,68278,69063,69864,70694,71544,72448,73425,74524,75706,76958,78310,79741,81327,82790,84391,85823,85639,88571,89626,90192,90080,89044,87192,84924,82837,81024,80225,80217,81638,83346,85782,87860,89319,90483,91331,92040,92841
27,Female,67738,68526,69332,70169,71026,71937,72922,74040,75245,76520,77893,79339,80949,82440,84077,85532,85354,88320,89389,89945,89786,88653,86663,84234,82020,80075,79166,79076,80579,82313,84840,87128,88736,90029,90968,91718,92616
28,Female,67187,67978,68789,69632,70497,71415,72407,73544,74773,76071,77465,78927,80559,82080,83753,85231,85059,88060,89143,89688,89476,88238,86098,83492,81141,79051,78024,77840,79433,81194,83809,86333,88104,89539,90577,91368,92377
29,Female,66622,67416,68232,69082,69954,70877,71877,73034,74287,75609,77024,78502,80157,81708,83418,84920,84753,87789,88886,89418,89151,87801,85501,82708,80214,77972,76821,76537,78224,80011,82712,85490,87433,89020,90164,90994,92125
30,Female,66056,66852,67672,68528,69407,70335,71342,72518,73795,75140,76576,78069,79746,81327,83075,84601,84438,87509,88620,89138,88810,87339,84869,81877,79231,76829,75545,75150,76936,78744,81530,84581,86711,88463,89724,90593,91859
31,Female,65473,66272,67096,67958,68843,69776,70790,71985,73287,74656,76114,77621,79321,80931,82718,84268,84109,87217,88341,88843,88451,86855,84207,81009,78208,75643,74223,73713,75600,77431,80298,83631,85954,87878,89260,90166,91579
32,Female,64890,65690,66517,67385,68277,69214,70233,71448,72774,74167,75645,77167,78889,80529,82354,83929,83773,86917,88055,88540,88081,86353,83521,80110,77151,74419,72860,72231,74219,76067,79012,82639,85163,87267,88776,89719,91288
33,Female,64293,65095,65924,66797,67695,68637,69662,70896,72247,73663,75162,76697,78440,80112,81976,83575,83421,86601,87753,88219,87689,85823,82800,79170,76049,73147,71446,70695,72784,74649,77670,81597,84328,86620,88263,89240,90979
34,Female,63687,64489,65322,66199,67103,68048,69079,70332,71707,73148,74667,76215,77979,79681,81585,83208,83056,86273,87438,87884,87279,85270,82049,78195,74911,71837,69995,69118,71309,73188,76280,80513,83457,85942,87724,88731,90654
35,Female,63070,63873,64708,65590,66499,67448,68483,69755,71155,72619,74158,75719,77504,79237,81180,82827,82676,85930,87109,87533,86849,84690,81266,77183,73732,70487,68501,67497,69787,71680,74839,79382,82544,85230,87158,88190,90311
36,Female,62446,63249,64086,64972,65886,66837,67876,69166,70591,72078,73637,75209,77015,78778,80761,82431,82279,85572,86763,87163,86395,84079,80444,76126,72506,69086,66955,65820,68209,70110,73331,78192,81580,84476,86556,87609,89946
37,Female,61812,62614,63452,64342,65260,66214,67256,68565,70013,71524,73102,74685,76510,78304,80327,82021,81867,85197,86402,86776,85920,83444,79595,75043,71255,67665,65391,64128,66611,68520,71799,76972,80584,83693,85929,86995,89562
38,Female,61170,61972,62811,63704,64626,65581,66627,67953,69425,70959,72555,74148,75992,77816,79879,81596,81439,84807,86024,86371,85424,82784,78719,73933,69980,66224,63811,62421,64993,66906,70240,75717,79556,82880,85275,86346,89159
39,Female,60513,61314,62154,63049,63975,64932,65980,67324,68820,70375,71990,73592,75455,77309,79411,81151,80991,84396,85626,85944,84903,82098,77819,72805,68691,64777,62232,60722,63376,65293,68680,74446,78504,82040,84594,85659,88734
40,Female,59853,60652,61492,62390,63318,64277,65326,66687,68205,69782,71414,73025,74904,76789,78929,80691,80525,83969,85210,85497,84361,81388,76898,71661,67392,63328,60656,59032,61758,63676,67112,73151,77425,81174,83888,84936,88288
41,Female,59175,59972,60812,61712,62643,63603,64653,66030,67571,69169,70818,72436,74332,76247,78425,80208,80037,83518,84771,85026,83792,80653,75956,70507,66088,61884,59096,57366,60159,62079,65563,71854,76333,80286,83157,84174,87817
42,Female,58507,59301,60140,61041,61974,62934,63985,65377,66939,68557,70221,71844,73755,75699,77913,79716,79537,83055,84319,84539,83205,79898,74996,69341,64778,60443,57541,55710,58558,60471,64001,70528,75212,79371,82401,83377,87328
43,Female,57819,58611,59449,60352,61286,62246,63297,64703,66285,67922,69601,71230,73155,75128,77376,79199,79011,82565,83839,84025,82590,79121,74025,68179,63483,59029,56027,54107,57003,58915,62489,69222,74092,78444,81625,82540,86812
44,Female,57137,57926,58762,59665,60600,61559,62609,64028,65630,67285,68977,70609,72547,74547,76828,78669,78470,82058,83342,83490,81953,78321,73036,67007,62184,57621,54525,52520,55454,57359,60975,67896,72949,77492,80824,81664,86274
45,Female,56450,57235,58069,58972,59907,60866,61913,63345,64965,66637,68341,69975,71924,73952,76263,78122,77909,81532,82824,82933,81291,77497,72028,65826,60882,56219,53035,50953,53918,55814,59468,66559,71787,76515,79996,80745,85710
46,Female,55755,56536,57367,58269,59204,60161,61205,62649,64286,65974,67690,69324,71282,73337,75677,77551,77324,80979,82279,82347,80598,76644,70997,64630,59572,54818,51553,49399,52388,54274,57963,65206,70600,75509,79136,79778,85116
47,Female,55055,55831,56659,57559,58493,59448,60489,61944,63597,65300,67026,68659,70625,72706,75074,76962,76717,80405,81710,81735,79877,75763,69943,63420,58255,53418,50079,47858,50864,52736,56458,63835,69388,74474,78246,78766,84495
48,Female,54346,55117,55941,56840,57772,58724,59761,61225,62894,64611,66345,67976,69949,72054,74447,76349,76084,79803,81113,81092,79123,74850,68863,62195,56928,52018,48610,46328,49343,51200,54950,62444,68148,73406,77321,77704,83839
49,Female,53611,54377,55198,56093,57024,57973,59005,60478,62162,63892,65634,67262,69240,71370,73788,75701,75415,79164,80479,80410,78328,73899,67753,60950,55589,50616,47149,44813,47832,49674,53452,61042,66886,72307,76359,76590,83145
50,Female,52856,53616,54432,55325,56253,57199,58225,59707,61405,63147,64896,66519,68502,70656,73096,75021,74712,78491,79809,79690,77494,72911,66613,59684,54237,49209,45689,43307,46323,48148,51952,59620,65595,71172,75358,75422,82412
51,Female,52058,52812,53623,54513,55438,56381,57401,58891,60602,62356,64113,65730,67717,69895,72357,74293,73959,77767,79089,78919,76610,71881,65441,58401,52875,47804,44242,41824,44832,46646,50474,58200,64289,70009,74319,74198,81631
52,Female,51249,51997,52803,53689,54610,55549,56562,58060,59784,61549,63311,64921,66910,69113,71595,73540,73179,77016,78341,78118,75695,70820,64245,57103,51505,46399,42799,40350,43344,45141,48992,56758,62956,68815,73248,72931,80819
53,Female,50397,51137,51938,52820,53737,54672,55678,57183,58919,60694,62461,64063,66054,68280,70780,72734,72346,76211,77538,77262,74727,69717,63022,55793,50133,45004,41379,38909,41884,43670,47542,55328,61615,67595,72139,71610,79956
54,Female,49522,50256,51051,51929,52842,53772,54771,56281,58027,59812,61582,63176,65167,67416,69933,71894,71477,75368,76698,76367,73721,68581,61775,54471,48757,43615,39971,37487,40437,42210,46101,53890,60257,66349,70997,70249,79054
55,Female,48617,49344,50132,51005,51913,52839,53829,55344,57101,58894,60667,62251,64241,66512,69042,71011,70563,74479,75810,75425,72669,67408,60502,53137,47377,42230,38576,36086,39006,40767,44675,52450,58882,65076,69818,68844,78106
56,Female,47686,48405,49186,50054,50957,51878,52858,54377,56143,57942,59717,61290,63278,65571,68113,70086,69605,73546,74877,74436,71572,66194,59200,51783,45987,40845,37186,34695,37581,39329,43251,50995,57484,63768,68600,67396,77111
57,Female,46722,47433,48207,49069,49966,50881,51852,53373,55147,56952,58727,60287,62271,64584,67136,69113,68598,72561,73891,73392,70422,64937,57866,50413,44588,39460,35806,33321,36167,37902,41834,49532,56063,62428,67340,65902,76065
58,Female,45729,46431,47198,48052,48943,49852,50812,52335,54114,55924,57698,59244,61222,63555,66114,68092,67542,71525,72854,72296,69222,63636,56499,49021,43176,38072,34429,31955,34757,36476,40416,48051,54615,61049,66034,64361,74965
59,Female,44680,45372,46131,46978,47861,48764,49713,51237,53021,54834,56606,58136,60108,62460,65023,67002,66415,70417,71745,71129,67955,62280,55093,47606,41750,36681,33057,30604,33356,35063,39007,46564,53144,59633,64679,62765,73800
60,Female,43579,44262,45012,45852,46727,47623,48560,50083,51871,53686,55454,56968,58932,61302,63866,65846,65221,69241,70567,69893,66622,60868,53642,46159,40303,35278,31681,29255,31954,33645,37592,45054,51638,58171,63270,61114,72570
61,Female,42386,43059,43801,44632,45499,46388,47313,48834,50624,52439,54203,55700,57655,60043,62606,64585,63925,67960,69285,68556,65199,59384,52141,44681,38835,33867,30310,27920,30564,32246,36193,43545,50113,56666,61799,59395,71249
62,Female,41165,41828,42559,43382,44239,45120,46031,47549,49338,51152,52909,54387,56331,58735,61295,63271,62572,66621,67943,67156,63713,57841,50589,43163,37337,32434,28921,26572,29153,30819,34759,41985,48531,55100,60264,57622,69864
63,Female,39854,40505,41226,42039,42885,43759,44655,46167,47955,49765,51514,52971,54903,57322,59874,61846,61111,65168,66489,65648,62128,56218,48979,41606,35812,30987,27530,25231,27745,29398,33329,40413,46916,53481,58658,55777,68378
64,Female,38478,39118,39827,40629,41464,42328,43209,44714,46497,48301,50039,51474,53392,55823,58364,60330,59560,63622,64941,64046,60457,54521,47309,40005,34256,29520,26127,23883,26326,27963,31878,38804,45251,51798,56978,53867,66804
65,Female,37035,37663,38360,39149,39972,40826,41690,43185,44960,46756,48481,49892,51793,54234,56760,58718,57914,61977,63292,62345,58693,52746,45578,38360,32668,28033,24713,22532,24898,26515,30407,37160,43536,50050,55221,51890,65134
66,Female,35523,36137,36820,37596,38405,39247,40094,41575,43340,45124,46834,48219,50099,52548,55054,57002,56166,60222,61533,60536,56830,50886,43782,36669,31049,26526,23288,21176,23460,25056,28917,35478,41768,48233,53380,49843,63358
67,Female,33956,34557,35228,35990,36784,37615,38443,39909,41658,43426,45117,46473,48331,50784,53266,55200,54333,58380,59686,58647,54905,48987,41970,34983,29453,25054,21907,19869,22068,23634,27452,33813,40004,46405,51519,47785,61539
68,Female,32324,32913,33570,34318,35098,35916,36726,38171,39900,41648,43315,44640,46471,48923,51376,53293,52398,56429,57728,56659,52903,47040,40138,33303,27884,23620,20572,18613,20724,22257,26022,32170,38246,44566,49631,45710,59660
69,Female,30615,31192,31836,32569,33334,34138,34930,36351,38054,39776,41417,42707,44507,46954,49371,51268,50347,54356,55649,54561,50817,45041,38286,31627,26339,22223,19284,17408,19430,20928,24628,30556,36500,42716,47716,43619,57715
70,Female,28855,29419,30049,30767,31516,32305,33078,34471,36142,37832,39441,40694,42459,44895,47271,49142,48197,52179,53463,52369,48660,42996,36413,29955,24817,20859,18035,16247,18178,19634,23257,28955,34754,40853,45774,41521,55714
71,Female,26982,27534,28151,28853,29585,30359,31113,32473,34105,35756,37329,38542,40267,42686,45011,46853,45892,49835,51112,50028,46389,40881,34510,28282,23318,19530,16833,15138,16978,18395,21931,27392,33024,38978,43797,39399,53622
72,Female,25120,25659,26262,26946,27659,28415,29148,30470,32057,33664,35195,36364,38044,40436,42705,44512,43537,47432,48696,47633,44081,38746,32606,26625,21849,18239,15672,14070,15818,17186,20622,25840,31296,37095,41806,37290,51499
73,Female,23186,23712,24298,24963,25656,26392,27104,28381,29915,31471,32953,34075,35703,38061,40263,42029,41052,44880,46130,45103,41671,36549,30675,24970,20405,16982,14554,13049,14704,16023,19349,24316,29578,35198,39778,35161,49286
74,Female,21246,21757,22326,22969,23640,24354,25043,26270,27745,29241,30669,31740,33311,35623,37750,39468,38500,42243,43474,42496,39209,34326,28743,23333,18995,15767,13482,12075,13637,14903,18106,22818,27873,33299,37736,33040,47025
75,Female,19308,19803,20352,20971,21618,22307,22970,24142,25550,26981,28348,29364,30870,33127,35168,36832,35884,39520,40729,39812,36695,32078,26811,21715,17620,14594,12455,11147,12617,13826,16897,21349,26185,31398,35677,30925,44708
76,Female,17384,17861,18389,18982,19601,20262,20899,22010,23343,24702,26002,26960,28395,30584,32532,34134,33219,36727,37908,37065,34141,29816,24887,20123,16285,13466,11476,10266,11645,12795,15723,19915,24518,29504,33611,28823,42343
77,Female,15522,15978,16481,17046,17635,18265,18872,19918,21171,22451,23678,24573,25931,28042,29887,31419,30545,33904,35051,34290,31579,27564,22988,18567,14996,12386,10546,9434,10723,11811,14587,18517,22879,27622,31544,26743,39941
78,Female,13729,14162,14639,15173,15730,16326,16901,17877,19045,20241,21391,22221,23495,25516,27251,28707,27881,31076,32184,31513,29028,25337,21126,17055,13760,11358,9668,8652,9853,10877,13494,17165,21277,25766,29494,24698,37524
79,Female,12001,12410,12857,13357,13879,14437,14979,15881,16958,18065,19132,19894,21080,22999,24615,25986,25211,28228,29290,28717,26474,23124,19290,15578,12566,10373,8834,7912,9028,9988,12436,15851,19703,23922,27441,22671,35062
80,Female,10384,10765,11182,11645,12130,12648,13153,13979,14964,15978,16959,17652,18744,20553,22043,23325,22599,25431,26442,25968,23975,20968,17514,14159,11430,9444,8052,7222,8255,9151,11427,14590,18178,22119,25422,20688,32603
81,Female,8865,9216,9599,10024,10469,10946,11412,12159,13048,13966,14858,15481,16476,18160,19520,20703,20025,22662,23615,23242,21504,18847,15774,12779,10336,8554,7309,6568,7521,8353,10448,13363,16677,20327,23399,18722,30102
82,Female,7505,7824,8172,8557,8961,9393,9819,10488,11283,12106,12910,13462,14359,15915,17144,18226,17589,20030,20919,20634,19133,16804,14094,11441,9273,7686,6583,5926,6800,7565,9480,12146,15185,18540,21378,16784,27590
83,Female,6246,6531,6842,7185,7546,7932,8315,8906,9607,10335,11048,11532,12329,13747,14841,15819,15227,17458,18277,18071,16795,14785,12428,10111,8213,6820,5855,5282,6073,6770,8499,10911,13667,16717,19311,14841,25007
84,Female,5123,5374,5647,5948,6266,6606,6944,7459,8068,8704,9328,9746,10444,11721,12681,13552,13006,15023,15768,15628,14560,12848,10826,8828,7187,5978,5145,4653,5360,5988,7533,9691,12162,14905,17251,12925,22420
85,Female,4130,4346,4582,4842,5116,5411,5705,6147,6668,7215,7753,8107,8710,9843,10672,11437,10938,12737,13404,13320,12442,11006,9297,7600,6202,5169,4461,4043,4669,5227,6590,8495,10684,13122,15217,11040,19853
86,Female,3277,3460,3660,3880,4114,4364,4616,4989,5429,5891,6348,6644,7156,8146,8851,9512,9060,10645,11233,11192,10482,9298,7874,6453,5279,4408,3815,3466,4012,4502,5689,7351,9265,11404,13253,9235,17360
87,Female,2559,2711,2877,3061,3255,3464,3676,3985,4350,4735,5116,5358,5786,6637,7227,7789,7382,8758,9268,9259,8696,7733,6566,5395,4425,3702,3214,2927,3396,3820,4838,6266,7916,9765,11373,7542,14959
88,Female,1965,2089,2225,2374,2533,2705,2880,3132,3429,3744,4057,4252,4602,5323,5808,6278,5916,7094,7528,7542,7103,6334,5393,4443,3653,3062,2667,2436,2833,3194,4055,5265,6666,8243,9622,6019,12710
89,Female,1480,1579,1688,1808,1935,2074,2215,2416,2654,2907,3160,3313,3595,4194,4585,4972,4655,5646,6009,6038,5703,5100,4354,3597,2966,2491,2177,1993,2324,2628,3345,4353,5525,6849,8014,4686,10633
90,Female,1097,1174,1259,1353,1454,1563,1675,1833,2020,2220,2419,2537,2760,3249,3559,3871,3597,4417,4716,4752,4502,4037,3457,2864,2368,1992,1747,1604,1876,2126,2712,3539,4503,5596,6564,3552,8749
91,Female,792,851,916,988,1065,1149,1235,1357,1500,1654,1808,1897,2068,2459,2699,2945,2714,3378,3618,3657,3475,3126,2684,2230,1850,1559,1372,1264,1482,1684,2155,2819,3597,4481,5270,2612,7058
92,Female,564,609,657,711,769,833,899,990,1099,1215,1332,1397,1527,1834,2016,2207,2015,2544,2733,2771,2641,2383,2052,1710,1422,1201,1061,980,1152,1313,1685,2210,2827,3532,4164,1870,5603
93,Female,392,424,460,499,542,589,638,705,785,871,957,1004,1099,1335,1470,1614,1458,1870,2016,2050,1960,1774,1532,1281,1068,904,802,743,876,1001,1287,1694,2172,2721,3217,1294,4350
94,Female,267,289,315,343,374,407,442,491,548,610,673,705,774,950,1048,1154,1030,1344,1453,1483,1422,1291,1119,938,785,665,592,550,651,746,962,1269,1632,2050,2430,866,3303
95,Female,177,193,210,230,251,275,300,333,374,417,461,483,531,660,729,805,708,943,1023,1046,1007,917,797,670,563,477,427,398,472,543,702,929,1197,1508,1793,560,2449
96,Female,114,125,137,150,165,181,197,221,248,278,308,322,355,447,494,547,474,644,701,719,694,634,553,466,393,334,300,280,333,384,499,662,856,1081,1288,348,1769
97,Female,72,79,87,95,105,116,127,142,160,180,201,210,231,295,326,363,308,429,468,482,467,428,374,317,267,227,205,193,230,266,345,460,596,755,903,209,1246
98,Female,44,49,54,59,65,72,80,90,101,114,128,133,147,190,210,234,195,279,305,315,306,281,247,210,177,151,137,129,154,179,233,312,405,515,617,120,856
99,Female,26,29,32,36,40,44,49,55,63,71,79,82,91,119,132,148,121,177,194,201,196,181,159,135,115,98,89,84,101,118,154,206,269,342,412,67,574
100,Female,15,17,19,21,24,26,29,33,37,43,48,50,55,73,81,91,73,109,120,124,122,112,99,85,72,61,56,53,64,75,98,132,173,221,266,35,373
