age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
44,Male,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.018,0.018,0.02,0.019,0.02,0.021,0.022,0.024,0.028,0.032,0.036,0.042,0.049,0.057,0.059,0.064,0.07,0.078,0.084,0.091,0.102,0.116,0.125,0.132,0.135,0.136,0.133,0.127,0.123,0.122,0.129,0.132,0.124,0.106,0.094,0.09,0.085,0.084,0.081,0.085,0.112,0.072,0.069
45,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.02,0.019,0.02,0.021,0.022,0.025,0.028,0.032,0.037,0.043,0.048,0.056,0.061,0.067,0.073,0.08,0.086,0.091,0.101,0.115,0.123,0.132,0.135,0.135,0.132,0.126,0.121,0.118,0.121,0.122,0.125,0.116,0.098,0.088,0.083,0.08,0.079,0.084,0.111,0.072,0.067
46,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.02,0.019,0.02,0.021,0.022,0.025,0.028,0.032,0.037,0.043,0.049,0.054,0.059,0.068,0.075,0.082,0.087,0.092,0.101,0.113,0.121,0.129,0.134,0.135,0.132,0.124,0.12,0.116,0.117,0.113,0.114,0.117,0.108,0.091,0.081,0.078,0.076,0.083,0.108,0.071,0.067
47,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.02,0.019,0.02,0.021,0.023,0.025,0.029,0.032,0.037,0.043,0.049,0.055,0.057,0.066,0.077,0.085,0.089,0.094,0.101,0.112,0.118,0.126,0.132,0.135,0.132,0.124,0.118,0.115,0.115,0.11,0.105,0.105,0.109,0.102,0.085,0.076,0.074,0.08,0.105,0.069,0.067
48,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.02,0.019,0.02,0.021,0.023,0.025,0.029,0.033,0.038,0.043,0.049,0.055,0.058,0.064,0.074,0.086,0.092,0.096,0.103,0.112,0.117,0.124,0.129,0.133,0.133,0.126,0.118,0.113,0.114,0.109,0.104,0.097,0.098,0.104,0.096,0.08,0.072,0.079,0.101,0.068,0.066
49,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.017,0.017,0.018,0.02,0.019,0.02,0.021,0.023,0.026,0.029,0.033,0.038,0.043,0.049,0.055,0.058,0.065,0.071,0.083,0.093,0.097,0.104,0.112,0.116,0.121,0.125,0.129,0.131,0.126,0.12,0.113,0.112,0.108,0.103,0.097,0.09,0.092,0.098,0.091,0.076,0.077,0.098,0.066,0.064
50,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.02,0.019,0.02,0.022,0.024,0.026,0.03,0.034,0.038,0.044,0.05,0.055,0.058,0.065,0.073,0.08,0.09,0.099,0.106,0.114,0.117,0.121,0.123,0.126,0.128,0.126,0.122,0.116,0.112,0.107,0.103,0.097,0.091,0.084,0.087,0.094,0.087,0.083,0.097,0.065,0.063
51,Male,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.019,0.019,0.02,0.021,0.023,0.026,0.03,0.033,0.038,0.043,0.049,0.054,0.057,0.064,0.071,0.079,0.085,0.094,0.105,0.114,0.116,0.119,0.12,0.121,0.122,0.121,0.12,0.116,0.113,0.105,0.099,0.096,0.09,0.085,0.078,0.081,0.088,0.094,0.101,0.064,0.061
52,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.018,0.018,0.02,0.019,0.02,0.021,0.023,0.026,0.03,0.034,0.038,0.043,0.049,0.054,0.057,0.063,0.07,0.078,0.085,0.09,0.101,0.113,0.116,0.118,0.119,0.118,0.117,0.116,0.116,0.115,0.114,0.106,0.098,0.093,0.089,0.085,0.08,0.074,0.078,0.097,0.114,0.067,0.06
53,Male,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.021,0.023,0.025,0.029,0.033,0.038,0.043,0.048,0.053,0.056,0.062,0.069,0.076,0.083,0.089,0.096,0.107,0.114,0.117,0.117,0.116,0.114,0.111,0.111,0.111,0.113,0.108,0.1,0.091,0.086,0.084,0.08,0.076,0.071,0.086,0.116,0.076,0.064
54,Male,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.021,0.023,0.025,0.029,0.032,0.037,0.042,0.047,0.052,0.055,0.061,0.067,0.074,0.081,0.087,0.095,0.103,0.109,0.114,0.115,0.114,0.111,0.109,0.107,0.106,0.11,0.108,0.102,0.094,0.085,0.082,0.08,0.077,0.073,0.079,0.102,0.079,0.073
55,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.022,0.025,0.028,0.032,0.036,0.041,0.047,0.052,0.054,0.059,0.066,0.072,0.079,0.084,0.093,0.102,0.106,0.111,0.113,0.112,0.11,0.108,0.106,0.103,0.105,0.106,0.104,0.097,0.089,0.081,0.078,0.077,0.075,0.082,0.093,0.07,0.076
56,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.019,0.019,0.018,0.018,0.018,0.02,0.019,0.019,0.02,0.022,0.024,0.028,0.031,0.035,0.04,0.046,0.051,0.053,0.058,0.064,0.07,0.076,0.081,0.09,0.099,0.104,0.107,0.109,0.109,0.107,0.105,0.104,0.102,0.101,0.099,0.101,0.099,0.092,0.084,0.077,0.075,0.075,0.084,0.095,0.065,0.067
57,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.019,0.019,0.019,0.019,0.02,0.019,0.019,0.02,0.022,0.024,0.027,0.031,0.035,0.039,0.044,0.049,0.052,0.057,0.063,0.068,0.075,0.079,0.087,0.095,0.101,0.106,0.107,0.107,0.104,0.103,0.102,0.101,0.101,0.097,0.095,0.097,0.095,0.088,0.081,0.074,0.073,0.086,0.097,0.068,0.062
58,Male,0.016,0.017,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.019,0.021,0.02,0.02,0.02,0.022,0.024,0.027,0.03,0.034,0.039,0.044,0.048,0.051,0.056,0.062,0.067,0.074,0.078,0.085,0.093,0.098,0.104,0.106,0.106,0.103,0.101,0.1,0.1,0.101,0.098,0.094,0.092,0.094,0.092,0.086,0.079,0.073,0.085,0.098,0.07,0.065
59,Male,0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.02,0.02,0.021,0.02,0.02,0.021,0.022,0.024,0.027,0.03,0.034,0.038,0.043,0.047,0.05,0.055,0.061,0.066,0.072,0.078,0.085,0.091,0.095,0.101,0.105,0.106,0.104,0.101,0.099,0.098,0.1,0.099,0.096,0.091,0.089,0.092,0.091,0.085,0.079,0.086,0.097,0.071,0.068
60,Male,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.022,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.021,0.022,0.021,0.021,0.022,0.023,0.024,0.027,0.03,0.034,0.038,0.043,0.047,0.049,0.054,0.06,0.067,0.073,0.078,0.086,0.093,0.096,0.099,0.103,0.106,0.106,0.104,0.101,0.099,0.099,0.1,0.099,0.096,0.09,0.088,0.093,0.091,0.086,0.095,0.098,0.072,0.07
61,Male,0.017,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.023,0.022,0.021,0.022,0.023,0.025,0.027,0.03,0.033,0.037,0.041,0.045,0.048,0.052,0.058,0.064,0.071,0.076,0.084,0.092,0.095,0.098,0.099,0.102,0.104,0.104,0.101,0.098,0.097,0.096,0.097,0.097,0.093,0.087,0.086,0.09,0.09,0.101,0.104,0.072,0.07
62,Male,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.024,0.025,0.028,0.03,0.033,0.037,0.041,0.045,0.047,0.051,0.057,0.063,0.069,0.075,0.083,0.092,0.097,0.099,0.098,0.099,0.1,0.103,0.102,0.099,0.098,0.095,0.093,0.095,0.096,0.092,0.087,0.086,0.091,0.108,0.112,0.078,0.071
63,Male,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.024,0.024,0.025,0.025,0.024,0.025,0.025,0.025,0.026,0.024,0.024,0.024,0.025,0.026,0.028,0.031,0.033,0.036,0.04,0.043,0.045,0.05,0.055,0.06,0.066,0.072,0.08,0.089,0.095,0.1,0.099,0.097,0.096,0.098,0.1,0.1,0.098,0.095,0.093,0.091,0.093,0.094,0.092,0.086,0.085,0.108,0.117,0.083,0.076
64,Male,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.027,0.025,0.025,0.025,0.026,0.027,0.029,0.031,0.033,0.036,0.039,0.042,0.044,0.048,0.053,0.058,0.064,0.069,0.077,0.085,0.092,0.098,0.101,0.099,0.095,0.094,0.095,0.098,0.099,0.095,0.092,0.09,0.088,0.092,0.094,0.09,0.085,0.102,0.117,0.088,0.081
65,Male,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.028,0.026,0.026,0.026,0.027,0.028,0.03,0.031,0.034,0.036,0.039,0.041,0.042,0.046,0.051,0.056,0.061,0.066,0.073,0.081,0.088,0.095,0.1,0.101,0.097,0.092,0.09,0.092,0.096,0.096,0.092,0.09,0.088,0.086,0.092,0.093,0.09,0.102,0.109,0.088,0.085
66,Male,0.018,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.027,0.027,0.027,0.026,0.026,0.026,0.026,0.027,0.028,0.027,0.027,0.027,0.027,0.028,0.03,0.031,0.033,0.035,0.038,0.04,0.042,0.044,0.047,0.052,0.056,0.061,0.067,0.073,0.079,0.086,0.091,0.095,0.095,0.091,0.085,0.084,0.086,0.089,0.09,0.086,0.084,0.082,0.082,0.087,0.089,0.103,0.106,0.08,0.083
67,Male,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.029,0.028,0.028,0.028,0.028,0.029,0.03,0.031,0.033,0.035,0.037,0.039,0.041,0.043,0.044,0.048,0.052,0.055,0.061,0.066,0.07,0.076,0.081,0.085,0.088,0.088,0.084,0.079,0.077,0.079,0.082,0.083,0.08,0.078,0.077,0.077,0.083,0.102,0.107,0.077,0.076
68,Male,0.017,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.03,0.029,0.029,0.029,0.029,0.03,0.031,0.031,0.033,0.034,0.036,0.038,0.04,0.042,0.043,0.045,0.048,0.051,0.056,0.06,0.064,0.068,0.072,0.076,0.079,0.082,0.082,0.077,0.073,0.072,0.073,0.076,0.077,0.074,0.074,0.073,0.074,0.095,0.106,0.079,0.074
69,Male,0.017,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.028,0.028,0.028,0.029,0.029,0.029,0.03,0.029,0.029,0.03,0.03,0.031,0.031,0.032,0.033,0.034,0.035,0.037,0.039,0.041,0.043,0.044,0.045,0.047,0.051,0.055,0.058,0.061,0.064,0.067,0.07,0.074,0.076,0.076,0.072,0.068,0.066,0.068,0.071,0.072,0.07,0.07,0.071,0.085,0.099,0.078,0.076
70,Male,0.017,0.018,0.018,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.027,0.028,0.028,0.029,0.029,0.029,0.029,0.03,0.03,0.031,0.03,0.03,0.031,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.037,0.038,0.04,0.042,0.044,0.044,0.044,0.047,0.05,0.053,0.056,0.059,0.061,0.063,0.067,0.069,0.072,0.071,0.068,0.064,0.063,0.065,0.067,0.069,0.068,0.069,0.081,0.089,0.074,0.076
71,Male,0.016,0.017,0.017,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.03,0.031,0.03,0.03,0.03,0.031,0.032,0.033,0.033,0.033,0.034,0.034,0.035,0.037,0.038,0.04,0.041,0.043,0.043,0.044,0.046,0.048,0.051,0.053,0.055,0.056,0.059,0.062,0.064,0.066,0.066,0.063,0.059,0.059,0.06,0.064,0.066,0.065,0.078,0.084,0.066,0.071
72,Male,0.015,0.016,0.017,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.03,0.031,0.032,0.031,0.031,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.035,0.035,0.036,0.037,0.038,0.04,0.041,0.042,0.042,0.043,0.044,0.046,0.048,0.05,0.051,0.053,0.055,0.058,0.06,0.062,0.062,0.059,0.056,0.056,0.058,0.062,0.064,0.074,0.081,0.064,0.065
73,Male,0.015,0.015,0.016,0.017,0.018,0.018,0.019,0.02,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.03,0.032,0.031,0.031,0.031,0.032,0.032,0.033,0.034,0.034,0.034,0.035,0.035,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.041,0.041,0.042,0.044,0.045,0.046,0.048,0.049,0.051,0.054,0.056,0.058,0.059,0.056,0.053,0.053,0.056,0.06,0.072,0.077,0.061,0.062
74,Male,0.014,0.014,0.015,0.016,0.017,0.017,0.018,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.027,0.028,0.029,0.03,0.03,0.032,0.031,0.031,0.031,0.032,0.032,0.033,0.033,0.034,0.034,0.034,0.035,0.035,0.035,0.035,0.036,0.037,0.038,0.039,0.04,0.039,0.039,0.04,0.041,0.042,0.044,0.045,0.046,0.048,0.05,0.053,0.055,0.055,0.053,0.051,0.051,0.054,0.067,0.075,0.059,0.059
75,Male,0.013,0.013,0.014,0.015,0.015,0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.025,0.026,0.027,0.028,0.029,0.029,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.033,0.033,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.035,0.036,0.036,0.037,0.038,0.037,0.037,0.037,0.038,0.039,0.041,0.042,0.043,0.045,0.047,0.05,0.052,0.053,0.051,0.049,0.05,0.06,0.07,0.057,0.057
76,Male,0.012,0.012,0.013,0.013,0.014,0.015,0.015,0.016,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.026,0.026,0.027,0.028,0.03,0.03,0.03,0.03,0.031,0.031,0.031,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.034,0.034,0.035,0.035,0.035,0.035,0.034,0.034,0.036,0.037,0.038,0.039,0.04,0.042,0.045,0.047,0.05,0.051,0.049,0.047,0.055,0.063,0.053,0.055
77,Male,0.01,0.011,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.025,0.026,0.027,0.028,0.028,0.029,0.029,0.03,0.03,0.031,0.031,0.031,0.031,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.033,0.033,0.033,0.032,0.032,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.049,0.047,0.052,0.057,0.048,0.052
78,Male,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.025,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.03,0.03,0.03,0.031,0.032,0.034,0.035,0.036,0.038,0.041,0.044,0.046,0.047,0.052,0.055,0.044,0.047
79,Male,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.025,0.025,0.026,0.026,0.027,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.03,0.03,0.029,0.029,0.029,0.028,0.028,0.028,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.029,0.03,0.032,0.033,0.035,0.037,0.039,0.042,0.044,0.051,0.054,0.042,0.043
80,Male,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.023,0.023,0.024,0.025,0.025,0.026,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.026,0.027,0.028,0.029,0.03,0.032,0.033,0.035,0.038,0.04,0.048,0.053,0.042,0.041
81,Male,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.022,0.023,0.024,0.024,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.026,0.026,0.026,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.025,0.026,0.027,0.028,0.029,0.031,0.032,0.034,0.037,0.043,0.05,0.042,0.041
82,Male,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.012,0.012,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.02,0.021,0.022,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.026,0.027,0.029,0.03,0.032,0.034,0.039,0.046,0.04,0.041
83,Male,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.02,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.026,0.028,0.029,0.03,0.035,0.041,0.036,0.038
84,Male,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.018,0.018,0.019,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.022,0.022,0.023,0.024,0.025,0.026,0.027,0.033,0.037,0.032,0.034
85,Male,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.013,0.014,0.014,0.015,0.016,0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.023,0.024,0.03,0.033,0.027,0.03
86,Male,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.021,0.027,0.029,0.024,0.026
87,Male,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.024,0.025,0.02,0.021
88,Male,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.02,0.021,0.017,0.018
