age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17,Male,0.014,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.016,0.015,0.016,0.015,0.015,0.016,0.017,0.018,0.019,0.02,0.022,0.025,0.027,0.03,0.032,0.036,0.041,0.045,0.049,0.053,0.058,0.06,0.061,0.061,0.06,0.059,0.058,0.056,0.052,0.048,0.045,0.041,0.038,0.036,0.034,0.033,0.032,0.03,0.028,0.027,0.026,0.025,0.024
18,Male,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.02,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.018,0.016,0.016,0.017,0.018,0.019,0.021,0.022,0.024,0.027,0.03,0.033,0.035,0.04,0.045,0.05,0.054,0.058,0.063,0.068,0.069,0.069,0.068,0.066,0.065,0.064,0.061,0.056,0.052,0.048,0.045,0.042,0.039,0.037,0.037,0.036,0.033,0.031,0.03,0.029,0.027
19,Male,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.021,0.021,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.022,0.024,0.026,0.029,0.032,0.035,0.037,0.042,0.047,0.053,0.058,0.063,0.068,0.072,0.075,0.076,0.075,0.072,0.069,0.068,0.066,0.062,0.058,0.053,0.05,0.046,0.043,0.041,0.039,0.039,0.038,0.036,0.033,0.031,0.03
20,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.022,0.021,0.02,0.02,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.019,0.018,0.017,0.018,0.019,0.02,0.022,0.025,0.027,0.03,0.034,0.037,0.038,0.044,0.05,0.056,0.062,0.067,0.073,0.079,0.082,0.084,0.083,0.08,0.076,0.073,0.071,0.068,0.065,0.06,0.055,0.051,0.048,0.045,0.042,0.041,0.04,0.04,0.037,0.034,0.032
21,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.02,0.021,0.022,0.021,0.021,0.02,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.02,0.023,0.025,0.028,0.032,0.035,0.039,0.04,0.046,0.052,0.059,0.065,0.071,0.078,0.085,0.088,0.091,0.091,0.088,0.084,0.08,0.076,0.073,0.071,0.067,0.061,0.056,0.053,0.05,0.047,0.044,0.042,0.042,0.041,0.038,0.034
22,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.02,0.021,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.023,0.025,0.029,0.033,0.037,0.041,0.041,0.047,0.054,0.061,0.068,0.075,0.083,0.09,0.095,0.098,0.098,0.097,0.092,0.087,0.083,0.079,0.077,0.073,0.068,0.063,0.057,0.054,0.051,0.048,0.045,0.044,0.043,0.041,0.037
23,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.02,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.023,0.025,0.029,0.033,0.038,0.042,0.042,0.049,0.056,0.063,0.07,0.078,0.086,0.095,0.1,0.104,0.105,0.103,0.1,0.095,0.09,0.085,0.082,0.078,0.074,0.069,0.063,0.058,0.054,0.052,0.048,0.045,0.045,0.042,0.04
24,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.02,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.017,0.018,0.02,0.022,0.025,0.028,0.033,0.038,0.043,0.043,0.05,0.057,0.064,0.072,0.08,0.089,0.099,0.105,0.11,0.111,0.11,0.106,0.101,0.097,0.092,0.089,0.083,0.079,0.074,0.068,0.063,0.057,0.055,0.051,0.046,0.048,0.042,0.041
25,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.018,0.019,0.022,0.025,0.028,0.033,0.038,0.043,0.044,0.051,0.059,0.066,0.074,0.082,0.092,0.104,0.11,0.116,0.118,0.117,0.113,0.108,0.104,0.099,0.097,0.091,0.084,0.079,0.074,0.068,0.062,0.058,0.054,0.047,0.054,0.044,0.041
26,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.018,0.019,0.019,0.018,0.018,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.016,0.017,0.019,0.022,0.025,0.028,0.033,0.038,0.043,0.044,0.052,0.06,0.068,0.075,0.084,0.094,0.106,0.113,0.12,0.122,0.122,0.118,0.113,0.109,0.105,0.103,0.097,0.091,0.083,0.078,0.073,0.066,0.061,0.056,0.047,0.058,0.046,0.042
