age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
29,Male,1.900,1.926,1.955,1.980,2.001,2.027,2.045,2.097,2.235,2.389,2.584,2.804,3.045,3.217,3.705,3.734,3.732,3.800,4.040,4.732,5.512,6.240,5.813,6.248,6.697,6.908,7.159,7.474,7.772,8.290,8.883,9.362,9.758,9.700,10.138,10.191,10.318
30,Male,1.849,1.868,1.896,1.917,1.935,1.947,1.967,2.003,2.125,2.297,2.467,2.676,2.910,3.141,3.440,3.735,3.720,3.743,3.901,4.493,5.188,5.897,5.582,5.902,6.400,6.635,6.780,7.033,7.335,7.898,8.430,8.971,9.391,9.701,9.844,10.108,9.992
31,Male,1.800,1.818,1.837,1.858,1.872,1.878,1.892,1.926,2.017,2.207,2.361,2.557,2.777,3.021,3.205,3.693,3.724,3.714,3.805,4.295,4.895,5.549,5.329,5.629,6.078,6.409,6.455,6.624,6.913,7.451,8.045,8.638,9.062,9.465,9.505,9.978,9.875
32,Male,1.753,1.769,1.782,1.803,1.814,1.818,1.818,1.853,1.926,2.103,2.274,2.445,2.655,2.892,3.135,3.436,3.731,3.706,3.744,4.137,4.643,5.218,5.038,5.410,5.747,6.172,6.224,6.256,6.489,7.036,7.645,8.164,8.701,9.118,9.507,9.686,9.798
33,Male,1.703,1.723,1.735,1.747,1.760,1.760,1.757,1.783,1.853,1.998,2.188,2.342,2.539,2.763,3.020,3.207,3.693,3.713,3.711,4.022,4.432,4.919,4.741,5.167,5.464,5.884,6.062,5.946,6.106,6.625,7.166,7.797,8.402,8.790,9.274,9.349,9.676
34,Male,1.644,1.678,1.689,1.697,1.709,1.707,1.702,1.715,1.783,1.910,2.086,2.257,2.429,2.642,2.894,3.139,3.440,3.721,3.699,3.942,4.261,4.661,4.461,4.886,5.227,5.552,5.885,5.755,5.741,6.195,6.778,7.391,7.908,8.470,8.931,9.344,9.392
35,Male,1.582,1.631,1.647,1.652,1.657,1.658,1.650,1.658,1.716,1.836,1.982,2.171,2.327,2.526,2.765,3.025,3.213,3.682,3.701,3.891,4.131,4.443,4.210,4.597,4.986,5.242,5.630,5.656,5.443,5.815,6.369,6.878,7.561,8.178,8.600,9.107,9.063
36,Male,1.520,1.575,1.605,1.610,1.611,1.612,1.603,1.608,1.651,1.766,1.893,2.068,2.241,2.416,2.644,2.897,3.144,3.431,3.705,3.860,4.038,4.264,3.997,4.325,4.727,4.974,5.299,5.540,5.287,5.427,5.936,6.518,7.148,7.673,8.273,8.756,9.060
37,Male,1.460,1.515,1.559,1.570,1.570,1.565,1.559,1.561,1.596,1.696,1.817,1.962,2.152,2.312,2.525,2.767,3.026,3.203,3.663,3.845,3.973,4.128,3.821,4.080,4.462,4.736,4.960,5.321,5.235,5.124,5.556,6.114,6.605,7.349,7.977,8.420,8.828
38,Male,1.405,1.456,1.507,1.531,1.530,1.521,1.517,1.518,1.547,1.628,1.743,1.870,2.045,2.222,2.412,2.642,2.895,3.130,3.410,3.832,3.930,4.028,3.682,3.872,4.217,4.501,4.664,4.994,5.181,4.945,5.148,5.680,6.275,6.917,7.471,8.086,8.481
39,Male,1.358,1.398,1.449,1.488,1.494,1.484,1.474,1.477,1.502,1.569,1.670,1.790,1.935,2.129,2.306,2.521,2.762,3.010,3.182,3.775,3.903,3.955,3.582,3.699,4.000,4.266,4.433,4.631,5.008,4.902,4.840,5.304,5.881,6.366,7.148,7.785,8.151
40,Male,1.315,1.344,1.393,1.439,1.457,1.448,1.434,1.439,1.460,1.517,1.598,1.712,1.839,2.019,2.214,2.405,2.634,2.876,3.105,3.510,3.877,3.905,3.514,3.562,3.814,4.057,4.226,4.311,4.679,4.922,4.633,4.880,5.450,6.072,6.728,7.285,7.823
